evidence_id,scenes,publisher,title,source_type,evidence_grade,url_or_locator,accessed_at,supported_claims,limitations
HA-001,S03,"国家网信办等七部门","生成式人工智能服务管理暂行办法","部门规章","A","https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm","2026-08-27","提供者承担内容生产与个人信息处理责任；需明确用途、保护输入记录、处置违法内容、投诉反馈和留存记录","面向境内公众服务；企业内部应用是否直接适用需按边界判断"
HA-002,S03,"全国网络安全标准化技术委员会","人工智能安全治理框架 1.0","治理框架","A","https://www.cac.gov.cn/rootimages/uploadimg/1727568303900999/1727568303900999.pdf","2026-08-27","研发、提供和使用主体需有可追溯责任链、实时风险监测、异常条件评估、解释预案与人工监督","框架性指引，不是所有条款均为强制义务"
HA-003,S03,"中央网信办/国家发展改革委","政务领域人工智能大模型部署应用指引","官方应用指引","A","https://app.www.gov.cn/govdata/gov/202510/11/538227/article.html","2026-08-27","模型定位为辅助；明确各阶段主体职责、身份权限、内容审核、拒答和应急处置；持续反馈迭代","政务领域指引，企业应用需类比而非直接套用"
HA-004,S03,"飞书","飞书 CLI 能力与安全说明：AI 如何安全调用飞书能力","企业官方安全文档","B","https://www.feishu.cn/content/article/7641519075810069471","2026-08-27","Agent 在既有 scope 内执行；租户管理员审批权限；用户与应用身份隔离；API 操作可审计归因","产品自述；高危操作二次确认部分仍属规划"
HA-005,S03,"飞书","飞书 aily 开启企业智能体应用新阶段","企业官方产品/方法文档","B","https://www.feishu.cn/content/article/7576921890476788922","2026-08-27","企业 Agent 由指令、知识、工具/API、行为边界和工作流构成；支持多步骤、多系统、严格流程治理与主动触发","部分案例和效率说法为企业自报或示例"
CP-001,S04,"国家网信办等三部门","互联网信息服务深度合成管理规定","部门规章","A","https://www.cac.gov.cn/2022-12/11/c_1672221949354811.htm","2026-08-27","提供者需对输入与合成结果采取技术或人工审核，保存日志，处理违法内容、申诉和显著标识","适用于互联网深度合成服务；内部创作环节需按发布边界判断"
CP-002,S04,"国家网信办等四部门","人工智能生成合成内容标识办法","部门规章","A","https://www.cac.gov.cn/2025-03/14/c_1743654684782215.htm","2026-08-27","生成文本、图像、音频、视频和虚拟场景需按情形添加显式/隐式标识并保留相关责任信息","只覆盖标识义务，不等于完整版权或品牌审核"
CP-003,S04,"京东零售技术","京点点 AIGC 平台：高效、可控、智能的多模态内容生成","企业官方技术案例","B","https://developer.jdcloud.com/article/4193","2026-08-27","商品图/文案由商品数据、模板、风格训练生成；公开了准确性、一致性、幻觉和数据质量挑战","开发者社区自报规模与效果，未独立审计"
CP-004,"S04;S05","京东零售技术","迈向电商大模型时代：从虚拟试穿到电商 AIGC","企业官方技术案例","B","https://developer.jdcloud.com/article/4422","2026-08-27","提出素材生产—投放—实验回收—模型迭代闭环；商品一致性偏差可引发客诉和法律风险","演讲整理与企业观点；不等于所有商家流程"
CP-005,S04,"BytePlus","GenAI Solution Architect - Video, Image & Multimodal GenAI","官方岗位详情/本地核验","B","https://joinbytedance.com/search/7603562946976188725","2026-08-27","岗位技术路线含重试、HITL、知识产权安全、水印以及成本/时延/POC 可衡量结果","岗位可能下线；不披露内部 Gate 设计"
GG-001,S05,"全国人大常委会","中华人民共和国电子商务法","法律","A","https://www.npc.gov.cn/WZWSREL3pncmR3L25wYy9sZnp0L3JseXcvMjAxOC0wOC8zMS9jb250ZW50XzIwNjA4MjcuaHRt","2026-08-27","平台需承担资质审核、安全保障、知识产权通知处置、信用评价和广告标识责任","法律覆盖广，不提供 AI 实现方法"
GG-002,S05,"上海市市场监督管理局","网络交易平台网络营销活动算法应用指引（试行）","地方监管指引","A","https://www.shanghai.gov.cn/gwk/search/content/2c9bf2f67d043165017d30e80ce54da0","2026-08-27","算法营销需个人信息影响评估、结果公平公正、合理参数和合规治理","地方试行指引；全国企业需结合属地义务"
GG-003,S05,"国家市场监督管理总局","互联网广告管理办法","部门规章","A","https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/fgs/art/2023/art_d93a579afd45413e8576e4623fab348f.html","2026-08-27","算法推荐规则和投放记录进入广告档案；平台监测排查、投诉处理、证据保存和违法广告处置","聚焦互联网广告，不覆盖全部经营决策"
GG-004,S05,"京东零售技术","京点点 AI 试衣×主图 A/B 实验实战路径","企业官方实验案例","B","https://developer.jdcloud.com/article/4324","2026-08-27","AIGC 素材接入 A/B 实验，用订单转化率验证并回流；显示内容与经营结果分离但相连","单个 618 案例，80%+ 为企业自报且不宜外推"
GG-005,S05,"字节跳动全球电商","E-commerce Merchant Growth - LLM & Agentic Systems","官方岗位详情/公开索引","B","https://joinbytedance.com/search/7616680923447527733","2026-08-27","商家增长、LLM 与 Agentic Systems 组合为独立市场投入信号","岗位存续可能变化；职责摘要不足以证明完整闭环"
PI-001,S06,"工业和信息化部","智能网联汽车准入和上路通行试点通知解读","监管政策解读","A","https://www.miit.gov.cn/jgsj/zbys/qcgy/art/2023/art_a880b23571e04bdf92c3cb70081ad536.html","2026-08-27","试点含申报、测试与安全评估、准入、限定上路、事故/安全事件处置、暂停退出和评估调整；明确企业、使用主体和城市责任","以 L3/L4 智能网联汽车为主，不覆盖全部机器人"
PI-002,S06,"国家网信办等五部门","汽车数据安全管理若干规定（试行）","部门规章","A","https://www.miit.gov.cn/zcfg/xxtxl/art/2022/art_854e1fc6f4984825b85ab5a193e59a6c.html","2026-08-27","定义制造商、供应商、经销商、维修和出行企业的数据处理责任；要求同意、最小必要、风险评估、事件与投诉记录","仅汽车数据处理，不涵盖控制系统全部安全要求"
PI-003,S06,"工业和信息化部等四部门","智能网联汽车准入和上路通行试点实施指南（试行）","实施指南","A","https://www.gov.cn/zhengce/zhengceku/202311/P020231117465865734883.pdf","2026-08-27","要求系统定义、架构、安全、软件、仿真、集成、整车测试、接管与最小风险策略等专业能力和责任","试点指南；量产外场景需另行验证"
PI-004,S06,"百度 Apollo","Apollo 自动驾驶云平台","企业官方产品/流程说明","B","https://apollocloud.baidu.com/about","2026-08-27","覆盖数据采集、标注、存储、管理、使用以及研发、测试、运营、监管端到端服务","官网产品主张；页面正文抓取有限，效果未独立验证"
PI-005,S06,"京东空间与具身智能实验室","算法开发岗","官方岗位详情/公开索引","B","https://zhaopin.jd.com/web/job-info-detail?requementId=221328","2026-08-27","具身智能研发与企业投入是独立市场信号","岗位可能下线；不提供生产责任和事故流程"
KO-001,S07,"中央网信办/国家发展改革委","政务领域人工智能大模型部署应用指引","官方应用指引","A","https://app.www.gov.cn/govdata/gov/202510/11/538227/article.html","2026-08-27","机关办公包含本地知识库、模板、资料检索、智能分办；要求权限、审核、拒答、持续更新和反馈","政务指引，企业知识办公需类比"
KO-002,S07,"飞书","企业知识库 AI 问答如何工作：权限继承、检索与结果核对","企业官方方法说明","B","https://www.feishu.cn/content/article/7667878406574328795","2026-08-27","工作链路为权限判断、内容检索、证据组织、答案生成并需人工核对；禁止将参考答案直接用于高风险决定","2026 年方法文章，未提供独立客户验证"
KO-003,S07,"飞书","飞书发布智能伙伴，助力企业 AI 时代","企业官方产品说明","B","https://www.feishu.cn/content/wechat_post_6515","2026-08-27","员工访问企业知识时继承本人权限；模型输入输出进行敏感信息脱敏拦截","产品自述，实际配置质量依赖企业治理"
KO-004,S07,"飞书","飞书 aily 开启企业智能体应用新阶段","企业官方产品/方法文档","B","https://www.feishu.cn/content/article/7576921890476788922","2026-08-27","知识源梳理、清洗、索引、标签/权限、上线测试、日志反馈构成知识运营流程","部分案例为示例，指标不可泛化"
KO-005,S07,"百度","AI Agent 算法工程师（办公智能体）","官方岗位详情/本地核验","B","https://talent.baidu.com/jobs/detail/SOCIAL/c8821b51-c061-4652-8fad-61d8a49b9f52","2026-08-27","办公任务执行效果和场景适配能力是明确岗位指标维度","招聘页面只揭示岗位，不揭示客户流程"
CS-001,S08,"国家市场监督管理总局","市场监督管理投诉举报处理办法","部门规章","A","https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/fgs/art/2026/art_e4d03a20c0fd49769e408c7bf3791ff5.html","2026-08-27","投诉需身份、请求和事实材料；受理/不受理有时限与理由；处理、调解、终止、评价、统计分析有责任主体","监管投诉流程不等于企业一线客服全部流程"
CS-002,S08,"阿里云","对话机器人转人工场景配置介绍","企业官方产品文档","B","https://help.aliyun.com/zh/beebot/intelligent-dialogue-robot-tongyi-version/introduction-of-beebot-to-artificial-scene","2026-08-27","机器人按用户意图/流程分支转指定技能组，透传上下文参数，外部系统解析并执行转接","产品配置文档，不证明转接质量或客户满意度"
CS-003,S08,"京东 JoyAI","JoyAI 智能客服","企业官方产品与客户案例","B","https://jdai.jd.com/portal/ai-products/customer-service","2026-08-27","大同 12345 案例覆盖需求识别、建单、派发、跟踪、外呼反馈和四级联动；给出办结率、时长、转人工指标","企业自报案例指标，未见独立审计"
CS-004,S08,"百度智能云","智能客服解决方案","企业官方产品方案","B","https://cloud.baidu.com/solution/intelligentservice.html","2026-08-27","覆盖坐席服务、IVR、质检、客户洞察、业务系统办理和售前售后闭环","解决方案描述，不等于单一客户的真实流程"
CS-005,S08,"京东","AI 产品经理（智能客服）","官方岗位详情/本地核验","B","https://zhaopin.jd.com/web/job-info-detail?requementId=217808","2026-08-27","智能客服作为独立 AI 产品岗位，支持市场投入信号","岗位可能下线；职责未公开完整指标"
SL-001,S09,"工业和信息化部/交通运输部/商务部","制造业企业供应链管理水平提升指南（试行）","部门指南","A","https://www.miit.gov.cn/cms_files/filemanager/123466610/attach/20243/1e1f5ac64ca848ccaf51bf261a14c7d9.pdf","2026-08-27","计划、生产、采购、物流需多源实时交换、风险管控、质量跟踪和追溯；要求上下游系统协同","制造业导向，不覆盖全部零售/服务供应链"
SL-002,S09,"商务部等八部门","加快数智供应链发展专项行动计划","部门行动计划","A","https://www.mofcom.gov.cn/zcfb/gnmygl/art/2025/art_5b5d27bfc09449d59a130e348ca32d09.html","2026-08-27","供应链需需求预测、智能决策、风险感知、自我修复；整合采购、排产、库存和全生命周期信息","政策目标不是企业已实现能力"
SL-003,S09,"工业和信息化部","智能制造典型场景参考指引（2025 年版）","部门场景指南","A","https://www.miit.gov.cn/cms_files/filemanager/1226211233/attach/20253/b782e9f2b7484bcfb8340f8e10f1966e.pdf","2026-08-27","风险在线监控、预警、预案仿真、供应网络切换；物流跟踪、调度、异常预警处理和准时交付指标","参考场景不等于自动执行可无人工审批"
SL-004,S09,"京东零售技术","数据驱动的库存选品和调拨算法提升履约效率","企业官方技术案例","B","https://developer.jdcloud.com/article/4165","2026-08-27","在履约率、销售损失、调拨成本和业务约束间优化，并披露多品订单条件下可能表现较差","企业技术文章；实际成效未独立复核"
SL-005,S09,"字节跳动企业服务系统","AI Application Development Engineer - Procurement","官方岗位详情/本地核验","B","https://joinbytedance.com/search/7668333629097085237","2026-08-27","长流程采购决策、规划、工具与记忆能力形成明确企业岗位需求","岗位可能下线；采购权责和金额阈值未公开"
MS-001,S10,"国家卫生健康委/国家中医药局","互联网诊疗监管细则（试行）","部门规范","A","https://www.nhc.gov.cn/yzygj/c100068/202203/2072f0e8988249e59d942e1b2a933916.shtml","2026-08-27","医师实名接诊且 AI 不得替代；首诊/病情变化需终止线上并转实体；处方须医师本人开具；病历与过程记录可追溯","聚焦互联网诊疗，不涵盖所有院内 AI"
MS-002,S10,"国家卫生健康委等三部门","卫生健康行业人工智能应用场景参考指引","部门场景指引","A","https://www.nhc.gov.cn/guihuaxxs/c100133/202411/3dee425b8dc34f739d63483c4e5c334c/files/1733227133524_47343.pdf","2026-08-27","影像质控、辅助决策、全科辅诊、病历、随访等强调人机协同并为医生提供建议和循证依据","参考指引，不赋予 AI 诊疗权"
MS-003,S10,"国家卫生健康委","医疗质量管理办法","部门规章","A","https://www.nhc.gov.cn/fzs/c100048/201610/c25a55c02c79461589d1a963625871d9.shtml","2026-08-27","医疗机构与医务人员遵循指南路径；病历需真实准确完整；质控组织与药师、医师等承担具名职责","较早法规但仍揭示稳定责任结构"
MS-004,S10,"科大讯飞医疗","智慧医疗产品与案例","企业官方产品说明","B","https://stat.iflyhealth.com/","2026-08-27","全科辅诊不改变医生现有流程；电子病历覆盖诊前采集、诊中录入、诊后质控随访；含家庭医生外呼","官网产品自述；部分页面抓取受限，效果未独立审计"
MS-005,S10,"北京地坛医院/阿里云","传染病智能体嵌入医生工作流","医院与企业官方案例","B","https://ue.aliyun.com/news/20251209","2026-08-27","多轮问诊、病历生成、循证、初步/鉴别诊断和诊疗计划为医生辅助链；专家知识与通用模型分工","企业侧报道；准确率和部署规模需独立核验"
MS-006,S10,"中国平安/北大医疗","筛、管、治、康全病程医疗 AI 体系","企业官方案例","B","https://www.pingan.com/official/strategyDetail/27936716","2026-08-27","真实医生反馈持续纠偏，多学科方案辅助和长期慢病管理体现人机、多专业协同","企业自报指标；不得据此声称临床等效或自动诊疗"
