record_id,record_type,source_type,company,business_line,title_or_signal,city,job_id,salary_text,monthly_min_k,monthly_max_k,salary_months,annual_min_k,annual_max_k,layer,industry,scenario,technical_route,production_metrics,ai_relevance,evidence_grade,evidence_status,url,captured_at
BOSS-019,job,BOSS_search_index,字节跳动（火山引擎）,Agent平台,【火山引擎】AI Infra Agent后端开发工程师,北京海淀区中关村,,40-70K·15薪,40,70,15,600,1050,platform_runtime_governance,云计算/企业AI,Agent平台,Agent Platform,,core_ai_investment,C,搜索引擎可复现BOSS索引卡片；动态索引页当前卡片不稳定；岗位存续需复核,https://www.zhipin.com/zhaopin/7110cf554ec3caba1nN-0tS5FQ~~/,2026-08-26
BOSS-020,job,BOSS_search_index,云从科技,Agent Runtime,AI Agent 平台架构师（Runtime 方向）,上海浦东新区张江,dac90ef95267c72b0nd-3dW-F1FZ,35-65K,35,65,,,,platform_runtime_governance,AI平台,长任务Agent运行时,Long-task State Persistence;Resume;Compensation,,core_ai_investment,C,BOSS搜索索引本轮可读；详情页跳转安全校验；薪资月数未公开；岗位存续需复核,https://www.zhipin.com/zhaopin/078cf2ee2abb3ce41nJ829q1Fw~~/,2026-08-26
BOSS-021,job,BOSS_search_index,XTransfer,AI应用架构,AI 应用架构师,上海杨浦区东外滩,8fbea51fbcc88eb90nd62tq5GVBX,45-60K·15薪,45,60,15,675,900,business_application,跨境金融服务,企业AI应用,AI Application Architecture,,core_ai_investment,C,BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核,https://www.zhipin.com/zhaopin/2435e6b062bd6fce0nV92Nm8GQ~~/,2026-08-26
BOSS-022,job,BOSS_search_index,阿里巴巴集团,安全/评测,阿里安全-大模型安全评测运营-杭州,杭州余杭区仓前,b15cadbb33f5a38c0nV_3d61GVdS,30-60K·16薪,30,60,16,480,960,platform_runtime_governance,云计算/安全,模型安全与评测,Evaluation;Guardrail,,core_ai_investment,C,BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核,https://www.zhipin.com/zhaopin/14b9dca820d1b3501nF_0tu1GA~~/,2026-08-26
BOSS-023,job,BOSS_search_index,字节跳动,Agent环境,AI 系统架构师（Env Sandbox方向）-基础技术,上海杨浦区五角场,62837b86f94613e40nB429u1EVdU,30-60K·15薪,30,60,15,450,900,platform_runtime_governance,开发工具/云计算,Agent执行环境,Environment;Sandbox,,core_ai_investment,C,BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核,https://m.zhipin.com/zhaopin/3cf152b283430a451HF_39W6GA~~/,2026-08-26
BYTE-001,job,official_careers_index,字节跳动 Seed,Seed基础模型,大语言模型预训练算法工程师-Seed,北京/上海,,,,,,,,base_model_compute,基础模型,大语言模型训练与研究,LLM Training,,core_ai_investment,B,官方 Seed 招聘页本轮可读；仅岗位索引；薪资未公开,https://seed.bytedance.com/zh/career,2026-08-26
BYTE-004,job,official_careers_direct,字节跳动,训练基础设施,"R&D Engineer, Training Infrastructure",Singapore,7660039156715882757,,,,,,,base_model_compute,基础模型/云计算,分布式训练平台,Ray;KubeRay;Kubernetes;Observability,,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://joinbytedance.com/search/7660039156715882757,2026-08-26
BYTE-005,job,official_careers_direct,火山引擎方舟,推理平台,LLM System Backend Engineer Graduate (AML Ark) - 2027 Start,Singapore,7664493475353954613,,,,,,,base_model_compute,云计算/基础模型,模型推理、评测与微调平台,MaaS;Evaluation;Fine-tuning;PD Separation;Distributed KV Cache;Multi-tenancy,训练吞吐；资源利用率；系统稳定性；推理性能；成本效率；可靠性,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://joinbytedance.com/search/7664493475353954613,2026-08-26
BYTE-006,job,official_careers_direct,火山引擎方舟,平台后端,Backend Engineer - ARK Large Model Platform (Singapore),Singapore,7378000595473828133,,,,,,,platform_runtime_governance,云计算/开发平台,AI任务编排与开发环境,Task Orchestration;Web IDE;LoRA;RLHF;RAG;Kubernetes;Service Mesh,实验成本；资源利用率,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://joinbytedance.com/search/7378000595473828133,2026-08-26
BYTE-007,job,official_careers_direct,字节跳动 Seed,Agent Systems/AI Coding,Research Engineer – Agent Systems & AI Coding Environment (Seed Infra Platform),Seattle,7610960133552654597,,,,,,,platform_runtime_governance,开发工具,长时程AI Coding Agent,Harness;Code Execution;Tool Integration;Sandbox;Planning;Memory;Coordination;Long-horizon Evaluation,,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://joinbytedance.com/search/7610960133552654597,2026-08-26
BYTE-008,job,official_careers_direct,字节跳动 TRAE,AI Coding,"Machine Learning Engineer, AI Coding Tools",San Jose,7571650125270370613,,,,,,,business_application,开发工具,AI原生编程工具,AI Coding Tools,时延；吞吐；准确率,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://joinbytedance.com/search/7571650125270370613,2026-08-26
BYTE-009,job,official_careers_direct,字节跳动 Seed,AI Coding评测,Senior/Principal Strategy Product Manager - AI Coding Product,San Jose,7632164888844503349,,,,,,,platform_runtime_governance,开发工具,代码Agent正确性评估,Correctness Evaluation;Benchmark,Correctness；语言/工具/复杂度覆盖；单元测试；Fuzzing；静态分析,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://joinbytedance.com/search/7632164888844503349,2026-08-26
BYTE-010,job,official_careers_index,字节跳动,CIS Knowledge Bank,Software Engineer Intern (CIS Knowledge Bank) - 2027 Fall,San Jose,7675345626188335365,,,,,,,platform_runtime_governance,企业协作,跨文档、会议、消息与业务系统的企业上下文,Permission-aware Context;Provenance;Access Control;MCP;API;Observability,检索召回质量；采用率；可观测性,core_ai_investment,C,官方搜索索引可识别完整正文；详情页本轮多次超时；岗位存续需复核,https://joinbytedance.com/search/7675345626188335365,2026-08-26
BYTE-011,job,official_careers_direct,字节跳动,AI Vertical Scenarios,AI Product Manager Graduate (Corporate Information Systems - AI Vertical Scenarios) - 2027 Start,Dubai,7668335125198309637,,,,,,,business_application,企业自动化,办公多Agent与工作流,Multi-Agent;Workflow;Full Evaluation,一线员工节省时间,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://joinbytedance.com/search/7668335125198309637,2026-08-26
BYTE-012,job,official_careers_direct,字节跳动,采购AI,AI Application Development Engineer Graduate (Corporate Service System - Procurement) - 2027 Start,Dubai,7668333629097085237,,,,,,,business_application,采购/供应链,长流程采购决策与端到端负责,System AI Harness;Planning;Tool;Memory,,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://joinbytedance.com/search/7668333629097085237,2026-08-26
BYTE-013,job,official_careers_direct,BytePlus,企业解决方案,AI Solution Architect - BytePlus,Singapore,7602936964813211909,,,,,,,business_application,企业服务,金融、电商、社交娱乐的Agent落地,ReAct;Plan-and-Execute;Multi-Agent;Skills;RAG;Vector;Memory;Cache;vLLM;SGLang;LLM-as-Judge;HITL,时延；吞吐；成本；安全性；准确性；幻觉率,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://joinbytedance.com/search/7602936964813211909,2026-08-26
BYTE-014,job,official_careers_direct,BytePlus,生成式AI解决方案,"GenAI Solution Architect - Video, Image & Multimodal GenaAI (AIGC) - (Chinese Speaker)",Dubai,7603562946976188725,,,,,,,business_application,内容/视频生成,企业视频图像生产线,Retry;HITL;IP Safety;Watermark,成本；时延；POC 可衡量结果,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://joinbytedance.com/search/7603562946976188725,2026-08-26
BYTE-015,job,official_careers_direct,飞书/Lark,企业协作解决方案,"Solution Engineer - Vietnam Market, Lark APAC",Ho Chi Minh City,7614127849486649653,,,,,,,business_application,企业协作,连接人员、流程与数据,Collaboration;Automation;AI,,ai_adjacent_transformation,A,官方岗位详情本轮可读；薪资未公开,https://joinbytedance.com/search/7614127849486649653,2026-08-26
BYTE-016,job,official_careers_direct,字节跳动全球电商,全球电商治理,LLM/MLLM Algorithm Engineer - Global E-Commerce,Singapore,7621874043991132421,,,,,,,business_application,电商/内容治理,商家、商品、视频、直播与知识产权治理,Domain LLM;Multimodal;Policy Decision,治理效率；治理效果；拒绝决策可解释性,core_ai_investment,A,官方岗位详情经旧版官方详情入口本轮可读；薪资未公开,https://joinbytedance.com/search/7621874043991132421,2026-08-26
BYTE-017,job,official_careers_direct,字节跳动全球电商,智能客服,Conversational AI Large Model Researcher-Global E-commerce-Soaring Star Talent Program,Singapore,7508749677463767304,,,,,,,business_application,客户服务,多Agent客服,Planning Agent;Reply Agent;Tool Agent;Policy;Hallucination Control,数亿日活用户服务规模；电商运营效率,core_ai_investment,A,官方岗位详情经旧版官方详情入口本轮可读；薪资未公开,https://joinbytedance.com/search/7508749677463767304,2026-08-26
BYTE-018,job,official_careers_direct,字节跳动 PIPO,支付/金融服务,LLM Algorithm Engineer Intern - Global Frontier Tech Recruitment Program - 2027 Start (PhD),Singapore,7673360399475001605,,,,,,,business_application,支付/金融,催收、营销通话与风险提示Copilot,Retrieval;Summarization;Quality Control,服务数百万全球用户；真实生产流量,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://joinbytedance.com/search/7673360399475001605,2026-08-26
BYTE-019,job,official_careers_index,字节跳动全球电商,推荐/搜索/广告,Machine Learning Engineer (User Growth & Intelligent Marketing) - Global e-Commerce,Seattle,7541186120630749448,,,,,,,business_application,互联网平台,推荐、搜索与广告,Recommendation;Search;Ads,DAU；渗透率；GMV,core_ai_investment,C,官方搜索索引可读；详情页本轮超时；岗位存续需复核,https://joinbytedance.com/search/7541186120630749448,2026-08-26
BAIDU-001,job,official_careers_direct,百度,云原生Agent Infra,云原生 Agent Infra 高级研发工程师,北京、上海,J100117,,,,,,,platform_runtime_governance,云计算/Agent平台,企业Agent基础设施,Sandbox;Gateway;Observability;Multi-Agent;Kubernetes;Operator;Kata;gVisor;Firecracker;MCP;SDK;Skill;OpenTelemetry,并发能力;弹性伸缩效率;整体稳定性;诊断效率;自动恢复能力;多租户隔离,core_ai_investment,A,官方详情本轮可读；2026-07-21；薪资未公开,https://talent.baidu.com/jobs/detail/SOCIAL/4b326f6b-2c39-461c-ae64-69b4201c680e,2026-08-26
BAIDU-002,job,official_careers_direct,百度,Agent算法,智能体算法工程师,北京,J101447,,,,,,,platform_runtime_governance,Agent平台,深度研究与计算机使用Agent,Planning;Reflection;Memory;Function Calling;Tool Orchestration;Multi-Agent;Evaluation;Deep Research;Computer Use,工具选择准确率;参数生成准确率;多工具编排稳定性,core_ai_investment,A,官方详情本轮可读；2026-07-21；薪资未公开,https://talent.baidu.com/jobs/detail/SOCIAL/78b2b775-4c6f-4554-87ea-d7133ae4a211,2026-08-26
BAIDU-003,job,official_careers_direct,百度,办公Agent,AI Agent 算法工程师,北京,J99071,,,,,,,business_application,企业办公,办公智能体,LLM;VLM;SFT;DPO;RLHF;Planning;Tool Use;Memory;Reflection;Multimodal,办公任务执行效果;场景适配能力,core_ai_investment,A,官方详情本轮可读；2026-07-21；薪资未公开,https://talent.baidu.com/jobs/detail/SOCIAL/c8821b51-c061-4652-8fad-61d8a49b9f52,2026-08-26
BAIDU-004,job,official_careers_direct,百度,Agentic RL,Summer Camp - Agentic RL / 大模型平台策略推理优化实习生,北京,J100476,,,,,,,base_model_compute,基础模型/Agent平台,代码、多轮对话、办公与多步骤任务,vLLM;SGLang;MTP;PPO;GRPO;ReAct;Function Calling,推理成本;推理效率;复杂任务成功率;鲁棒性;真实用户反馈闭环,core_ai_investment,A,官方详情本轮可读；2026-07-21；薪资未公开,https://talent.baidu.com/jobs/detail/INTERN/52415af4-405a-4f07-8392-d4b63e76df8c,2026-08-26
BAIDU-005,job,official_careers_direct,百度,多模态文档,多模态大模型研发工程师,北京、上海,J97395,,,,,,,business_application,内容/知识管理,文库、网盘与通用Agent,Multimodal;Text;Image;Video;Audio;Training;Inference,产品效果;研发效率;资源利用率,core_ai_investment,A,官方详情本轮可读；2026-07-21；薪资未公开,https://talent.baidu.com/jobs/detail/SOCIAL/59e29a75-8bbd-4346-bb26-80c39a9992e5,2026-08-26
BAIDU-006,job,official_careers_direct,百度智能云,AI算力/企业方案,AI算力与大模型产品解决方案,北京、上海、深圳,J97266,,,,,,,base_model_compute,云计算/企业服务,企业AI算力与政企上云,AI Compute;Developer Tools;Data;Algorithm;Cloud Solution,客户成功;项目风险,core_ai_investment,A,官方详情本轮可读；2026-07-21；薪资未公开,https://talent.baidu.com/jobs/detail/SOCIAL/a20c009e-7e87-4e38-98b0-7fab767752f5,2026-08-26
BAIDU-007,job,official_careers_direct,百度智能云,工业智能,百度智能云智慧工业解决方案架构师,北京、上海、深圳,J101421,,,,,,,business_application,工业/零售/机器人,工业Agentic AI与Physical AI,Agentic AI;Physical AI;Qianfan;Agent Framework;IoT;Prompt;Cache Reuse,POC到商业化;签约到规模化用云;销售目标;交付验收,core_ai_investment,A,官方详情本轮可读；2026-07-21；薪资未公开,https://talent.baidu.com/jobs/detail/SOCIAL/ea1b9710-431f-478a-861c-a68ceefaf1e8,2026-08-26
OPPO-001,job,official_careers_index,OPPO,多模态智能体,AI研究员（AI多模态智能体）,深圳,1808,,,,,,,base_model_compute,消费电子/基础模型,自动执行基础模型与Agent自演进,Agentic RL;Self-evolving;Personalization;State Awareness;Harness Engineering,长程任务稳定性;长程任务成功率;Token消耗;执行时延;ROI,core_ai_investment,C,官方详情 URL 为 JS 空页；搜索索引可读；2026-07-15；薪资未公开,https://careers.oppo.com/university/oppo/campus/post/1808?recruitType=Graduate,2026-08-26
OPPO-002,job,official_careers_index,OPPO,Agent记忆,高级AI研究员（AI智能体）-博士,上海,1743,,,,,,,platform_runtime_governance,消费电子/Agent平台,长期记忆与上下文管理,Agent Harness;Memory Store;Retrieval;Update;Forgetting;Context;RAG;RL,,core_ai_investment,C,官方详情 URL 为 JS 空页；搜索索引可读；2026-07-15；薪资未公开,https://careers.oppo.com/university/oppo/campus/post/1743,2026-08-26
OPPO-003,job,official_careers_index,OPPO,系统级Agent后端,AI工程师（AI Agent方向）,深圳、成都,1821,,,,,,,platform_runtime_governance,消费电子/OS,系统级Agent服务端,High-concurrency Backend;Agent Runtime,并发能力;性能;可用性;海量用户支撑,core_ai_investment,C,官方详情 URL 为 JS 空页；搜索索引可读；2026-07-15；薪资未公开,https://careers.oppo.com/university/oppo/campus/post/1821?recruitType=Graduate,2026-08-26
OPPO-004,job,official_careers_index,OPPO,AIOS,AI系统工程师（AI工程化方向）,南京、深圳,1843,,,,,,,business_application,消费电子/OS,系统级Agent与跨端决策,AIOS;Cross-device Agent;On-device Model;Multimodal;System Integration,性能;功耗;内存;量产落地,core_ai_investment,C,官方详情 URL 为 JS 空页；搜索索引可读；2026-07-15；薪资未公开,https://careers.oppo.com/university/oppo/campus/post/1843?recruitType=Graduate,2026-08-26
OPPO-005,job,official_careers_index,OPPO,搜索/助手,高级AI研究员（智能体记忆和检索）-博士,深圳,1746,,,,,,,business_application,消费电子/搜索,搜广推与智能助手记忆检索,Memory;Retrieval;Intent Understanding;Agent Retrieval;Multimodal;Training;Inference,,core_ai_investment,C,官方详情 URL 为 JS 空页；搜索索引可读；2026-07-15；薪资未公开,https://careers.oppo.com/university/oppo/campus/post/1746?recruitType=Graduate,2026-08-26
OPPO-006,job,official_careers_index,OPPO,研发效能,应用开发工程师（AI Agent方向）,深圳,1600,,,,,,,business_application,研发效能,AI编程与研发全流程平台化,Claude Code;Codex;Rules;Prompt;MCP;Agent Skills;RAG,,core_ai_investment,C,官方详情 URL 为 JS 空页；搜索索引可读；2026-03-06；薪资未公开,https://careers.oppo.com/university/oppo/campus/post/1600?recruitType=Graduate,2026-08-26
OPPO-007,job,official_careers_index,OPPO,企业IT AI,IT开发工程师（AI应用方向）,,1580,,,,,,,business_application,企业自动化,营销、供应链、研发、财务、人力与办公系统AI重构,Agent;MCP;A2A,,ai_adjacent_transformation,C,官方详情 URL 为 JS 空页；搜索索引可读；2026-01-27；城市未返回；薪资未公开,https://careers.oppo.com/university/oppo/campus/post/1580?recruitType=Graduate,2026-08-26
HUAWEI-001,job,official_careers_direct,华为,训练/推理架构,AI大模型架构师（训练/推理）,北京,28183,,,,,,,base_model_compute,ICT/基础模型,训练与推理系统,Training;Inference Architecture,,core_ai_investment,A,官方岗位详情数据本轮可由公开详情接口读取；页面HTML为JS壳；薪资未公开,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?dataSource=1&jobId=28183,2026-08-26
HUAWEI-002,job,official_careers_direct,华为,多模态/搜索推荐,算法专家（多模态/大模型/搜广推）,北京,28191,,,,,,,business_application,ICT/互联网平台,多模态搜索推荐,Multimodal;Search;Recommendation,,core_ai_investment,A,官方岗位详情数据本轮可由公开详情接口读取；页面HTML为JS壳；薪资未公开,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?dataSource=1&jobId=28191,2026-08-26
HUAWEI-003,job,official_careers_direct,华为,企业解决方案,AI解决方案架构师,上海,27617,,,,,,,business_application,企业服务,企业AI转型,Enterprise AI Solution,,core_ai_investment,A,官方岗位详情数据本轮可由公开详情接口读取；页面HTML为JS壳；薪资未公开,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?dataSource=1&jobId=27617,2026-08-26
HUAWEI-004,job,official_careers_direct,华为,AI Runtime,昇腾计算高级技术专家,上海,32189,,,,,,,platform_runtime_governance,ICT/云计算,模型与Agent运行时,AI Runtime Stack,,core_ai_investment,A,官方岗位详情数据本轮可由公开详情接口读取；页面HTML为JS壳；薪资未公开,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?dataSource=1&jobId=32189,2026-08-26
HUAWEI-005,job,official_careers_direct,华为,供应链AI,供应链算法&AI应用专家,东莞,22643,,,,,,,business_application,供应链/制造,供应链智能化,AI;Supply Chain,,core_ai_investment,A,官方岗位详情数据本轮可由公开详情接口读取；页面HTML为JS壳；薪资未公开,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?dataSource=1&jobId=22643,2026-08-26
TENCENT-001,job,official_careers_index,腾讯/微信,电商准入审核,微信安全-内容理解算法工程师-电商入驻审核,广州,,,,,,,,business_application,电商/风控,商家准入审核与人机路由,Multimodal;SFT;RLHF;DPO;Confidence Routing;Human-machine Routing,,core_ai_investment,C,官方城市页搜索索引含近期岗位正文，同时页面显示“目前暂时未有岗位开放”；实时存续冲突,https://careers.tencent.com/zh-cn/cityinfo.html?city=5,2026-08-26
TENCENT-002,job,official_careers_index,腾讯/微信,商业内容治理,微信安全-内容理解算法高级工程师-商业化审核,广州,,,,,,,,business_application,内容治理/广告,商业内容审核,Content Moderation;AI,,core_ai_investment,C,官方城市页搜索索引含近期岗位正文，同时页面显示“目前暂时未有岗位开放”；实时存续冲突,https://careers.tencent.com/zh-cn/cityinfo.html?city=5,2026-08-26
TENCENT-003,job,official_careers_index,腾讯/微信,内容风险,微信安全-大模型算法工程师-内容风控方向,广州,,,,,,,,business_application,内容治理,内容风险识别,Content Risk;AI,,core_ai_investment,C,官方城市页搜索索引含近期岗位正文，同时页面显示“目前暂时未有岗位开放”；实时存续冲突,https://careers.tencent.com/zh-cn/cityinfo.html?city=5,2026-08-26
TENCENT-004,job,official_careers_index,腾讯/微信,安全治理,微信安全-大模型风控算法高级工程师-视频号安全方向,广州、深圳,,,,,,,,business_application,内容治理/社交,视频内容安全,Video Safety;AI,,core_ai_investment,C,官方城市页搜索索引含近期岗位正文，同时页面显示“目前暂时未有岗位开放”；实时存续冲突,https://careers.tencent.com/zh-cn/cityinfo.html?city=5,2026-08-26
TENCENT-005,job,official_careers_index,腾讯/微信,游戏推荐,微信小游戏-大模型推荐算法工程师-商业化方向,广州,,,,,,,,business_application,游戏,游戏推荐,Recommendation;Game,,core_ai_investment,C,官方城市页搜索索引含近期岗位正文，同时页面显示“目前暂时未有岗位开放”；实时存续冲突,https://careers.tencent.com/zh-cn/cityinfo.html?city=5,2026-08-26
TENCENT-006,job,official_careers_index,腾讯/微信小店,业务数据Agent,微信小店-产品策划-数据产品方向,广州,,,,,,,,business_application,电商/企业数据,业务数据分析Agent,Data Agent;Commerce,,core_ai_investment,C,官方城市页搜索索引含近期岗位正文，同时页面显示“目前暂时未有岗位开放”；实时存续冲突,https://careers.tencent.com/zh-cn/cityinfo.html?city=5,2026-08-26
ALI-001,job,official_careers_index,阿里巴巴智能引擎 AI Infra,训练基础设施,智能引擎-大模型训练基础架构研发工程师/高级专家-AI Infra,北京/杭州,1038409,,,,,,,base_model_compute,基础模型/云计算,分布式训练,Training Infrastructure,,core_ai_investment,B,官方团队招聘索引本轮可读；详情页超时；薪资未公开,https://talent-holding.alibaba.com/off-campus/position-detail?positionId=1038409,2026-08-26
