流水号,日期,关联单号,对手方,摘要,收入元,支出元,余额元,币种,标识
KS-INJECTION-1000-B0030,2023-03-25,KS-INJECTION-1000-OPEX-202303,模拟费用结算,管理销售费用,0,320000,5879384,CNY,SYNTHETIC
KS-INJECTION-1000-B0031,2023-03-25,KS-INJECTION-1000-INT-202303,模拟融资机构,利息,0,25000,5854384,CNY,SYNTHETIC
KS-INJECTION-1000-B0032,2023-03-25,KS-INJECTION-1000-VAT-202303,模拟税费账户,增值税,0,317444,5536940,CNY,SYNTHETIC
KS-INJECTION-1000-B0033,2023-03-25,KS-INJECTION-1000-CIT-202303,模拟税费账户,所得税,0,282920,5254020,CNY,SYNTHETIC
KS-INJECTION-1000-B0034,2023-04-12,KS-INJECTION-1000-S-202304-1,模拟下游1,销售回款,1710458,0,6964478,CNY,SYNTHETIC
KS-INJECTION-1000-B0035,2023-04-13,KS-INJECTION-1000-S-202304-2,模拟下游2,销售回款,1660151,0,8624629,CNY,SYNTHETIC
KS-INJECTION-1000-B0036,2023-04-14,KS-INJECTION-1000-S-202304-3,模拟下游3,销售回款,1660151,0,10284780,CNY,SYNTHETIC
KS-INJECTION-1000-B0037,2023-04-16,KS-INJECTION-1000-P-202304-1,模拟原料商1,原料付款,0,1297936,8986844,CNY,SYNTHETIC
KS-INJECTION-1000-B0038,2023-04-17,KS-INJECTION-1000-P-202304-2,模拟原料商2,原料付款,0,865291,8121553,CNY,SYNTHETIC
KS-INJECTION-1000-B0039,2023-04-25,KS-INJECTION-1000-PAY-202304,模拟工资代发,工资,0,520000,7601553,CNY,SYNTHETIC
KS-INJECTION-1000-B0040,2023-04-25,KS-INJECTION-1000-ELEC-202304,模拟供电结算,电费,0,275600,7325953,CNY,SYNTHETIC
KS-INJECTION-1000-B0041,2023-04-25,KS-INJECTION-1000-OPEX-202304,模拟费用结算,管理销售费用,0,320000,7005953,CNY,SYNTHETIC
KS-INJECTION-1000-B0042,2023-04-25,KS-INJECTION-1000-INT-202304,模拟融资机构,利息,0,25000,6980953,CNY,SYNTHETIC
KS-INJECTION-1000-B0043,2023-04-25,KS-INJECTION-1000-VAT-202304,模拟税费账户,增值税,0,329893,6651060,CNY,SYNTHETIC
KS-INJECTION-1000-B0044,2023-04-25,KS-INJECTION-1000-CIT-202304,模拟税费账户,所得税,0,304260,6346800,CNY,SYNTHETIC
KS-INJECTION-1000-B0045,2023-05-12,KS-INJECTION-1000-S-202305-1,模拟下游1,销售回款,1775004,0,8121804,CNY,SYNTHETIC
KS-INJECTION-1000-B0046,2023-05-13,KS-INJECTION-1000-S-202305-2,模拟下游2,销售回款,1722798,0,9844602,CNY,SYNTHETIC
KS-INJECTION-1000-B0047,2023-05-14,KS-INJECTION-1000-S-202305-3,模拟下游3,销售回款,1722798,0,11567400,CNY,SYNTHETIC
KS-INJECTION-1000-B0048,2023-05-16,KS-INJECTION-1000-P-202305-1,模拟原料商1,原料付款,0,1346915,10220485,CNY,SYNTHETIC
KS-INJECTION-1000-B0049,2023-05-17,KS-INJECTION-1000-P-202305-2,模拟原料商2,原料付款,0,897943,9322542,CNY,SYNTHETIC
KS-INJECTION-1000-B0050,2023-05-25,KS-INJECTION-1000-PAY-202305,模拟工资代发,工资,0,520000,8802542,CNY,SYNTHETIC
KS-INJECTION-1000-B0051,2023-05-25,KS-INJECTION-1000-ELEC-202305,模拟供电结算,电费,0,286000,8516542,CNY,SYNTHETIC
KS-INJECTION-1000-B0052,2023-05-25,KS-INJECTION-1000-OPEX-202305,模拟费用结算,管理销售费用,0,320000,8196542,CNY,SYNTHETIC
KS-INJECTION-1000-B0053,2023-05-25,KS-INJECTION-1000-INT-202305,模拟融资机构,利息,0,25000,8171542,CNY,SYNTHETIC
KS-INJECTION-1000-B0054,2023-05-25,KS-INJECTION-1000-VAT-202305,模拟税费账户,增值税,0,342342,7829200,CNY,SYNTHETIC
KS-INJECTION-1000-B0055,2023-05-25,KS-INJECTION-1000-CIT-202305,模拟税费账户,所得税,0,325600,7503600,CNY,SYNTHETIC
KS-INJECTION-1000-B0056,2023-06-12,KS-INJECTION-1000-S-202306-1,模拟下游1,销售回款,1694322,0,9197922,CNY,SYNTHETIC
KS-INJECTION-1000-B0057,2023-06-13,KS-INJECTION-1000-S-202306-2,模拟下游2,销售回款,1644489,0,10842411,CNY,SYNTHETIC
KS-INJECTION-1000-B0058,2023-06-14,KS-INJECTION-1000-S-202306-3,模拟下游3,销售回款,1644489,0,12486900,CNY,SYNTHETIC
KS-INJECTION-1000-B0059,2023-06-16,KS-INJECTION-1000-P-202306-1,模拟原料商1,原料付款,0,1285691,11201209,CNY,SYNTHETIC
KS-INJECTION-1000-B0060,2023-06-17,KS-INJECTION-1000-P-202306-2,模拟原料商2,原料付款,0,857128,10344081,CNY,SYNTHETIC
KS-INJECTION-1000-B0061,2023-06-25,KS-INJECTION-1000-PAY-202306,模拟工资代发,工资,0,520000,9824081,CNY,SYNTHETIC
KS-INJECTION-1000-B0062,2023-06-25,KS-INJECTION-1000-ELEC-202306,模拟供电结算,电费,0,273000,9551081,CNY,SYNTHETIC
KS-INJECTION-1000-B0063,2023-06-25,KS-INJECTION-1000-OPEX-202306,模拟费用结算,管理销售费用,0,320000,9231081,CNY,SYNTHETIC
KS-INJECTION-1000-B0064,2023-06-25,KS-INJECTION-1000-INT-202306,模拟融资机构,利息,0,25000,9206081,CNY,SYNTHETIC
KS-INJECTION-1000-B0065,2023-06-25,KS-INJECTION-1000-VAT-202306,模拟税费账户,增值税,0,326781,8879300,CNY,SYNTHETIC
KS-INJECTION-1000-B0066,2023-06-25,KS-INJECTION-1000-CIT-202306,模拟税费账户,所得税,0,298925,8580375,CNY,SYNTHETIC
KS-INJECTION-1000-B0067,2023-07-12,KS-INJECTION-1000-S-202307-1,模拟下游1,销售回款,1742731,0,10323106,CNY,SYNTHETIC
KS-INJECTION-1000-B0068,2023-07-13,KS-INJECTION-1000-S-202307-2,模拟下游2,销售回款,1691474,0,12014580,CNY,SYNTHETIC
KS-INJECTION-1000-B0069,2023-07-14,KS-INJECTION-1000-S-202307-3,模拟下游3,销售回款,1691475,0,13706055,CNY,SYNTHETIC
KS-INJECTION-1000-B0070,2023-07-16,KS-INJECTION-1000-P-202307-1,模拟原料商1,原料付款,0,1322425,12383630,CNY,SYNTHETIC
KS-INJECTION-1000-B0071,2023-07-17,KS-INJECTION-1000-P-202307-2,模拟原料商2,原料付款,0,881617,11502013,CNY,SYNTHETIC
KS-INJECTION-1000-B0072,2023-07-25,KS-INJECTION-1000-PAY-202307,模拟工资代发,工资,0,520000,10982013,CNY,SYNTHETIC
KS-INJECTION-1000-B0073,2023-07-25,KS-INJECTION-1000-ELEC-202307,模拟供电结算,电费,0,280800,10701213,CNY,SYNTHETIC
KS-INJECTION-1000-B0074,2023-07-25,KS-INJECTION-1000-OPEX-202307,模拟费用结算,管理销售费用,0,320000,10381213,CNY,SYNTHETIC
KS-INJECTION-1000-B0075,2023-07-25,KS-INJECTION-1000-INT-202307,模拟融资机构,利息,0,25000,10356213,CNY,SYNTHETIC
KS-INJECTION-1000-B0076,2023-07-25,KS-INJECTION-1000-VAT-202307,模拟税费账户,增值税,0,336118,10020095,CNY,SYNTHETIC
KS-INJECTION-1000-B0077,2023-07-25,KS-INJECTION-1000-CIT-202307,模拟税费账户,所得税,0,314930,9705165,CNY,SYNTHETIC
KS-INJECTION-1000-B0078,2023-08-12,KS-INJECTION-1000-S-202308-1,模拟下游1,销售回款,1742731,0,11447896,CNY,SYNTHETIC
KS-INJECTION-1000-B0079,2023-08-13,KS-INJECTION-1000-S-202308-2,模拟下游2,销售回款,1691474,0,13139370,CNY,SYNTHETIC
KS-INJECTION-1000-B0080,2023-08-14,KS-INJECTION-1000-S-202308-3,模拟下游3,销售回款,1691475,0,14830845,CNY,SYNTHETIC
KS-INJECTION-1000-B0081,2023-08-16,KS-INJECTION-1000-P-202308-1,模拟原料商1,原料付款,0,1322425,13508420,CNY,SYNTHETIC
KS-INJECTION-1000-B0082,2023-08-17,KS-INJECTION-1000-P-202308-2,模拟原料商2,原料付款,0,881617,12626803,CNY,SYNTHETIC
KS-INJECTION-1000-B0083,2023-08-25,KS-INJECTION-1000-PAY-202308,模拟工资代发,工资,0,520000,12106803,CNY,SYNTHETIC
KS-INJECTION-1000-B0084,2023-08-25,KS-INJECTION-1000-ELEC-202308,模拟供电结算,电费,0,280800,11826003,CNY,SYNTHETIC
KS-INJECTION-1000-B0085,2023-08-25,KS-INJECTION-1000-OPEX-202308,模拟费用结算,管理销售费用,0,320000,11506003,CNY,SYNTHETIC
KS-INJECTION-1000-B0086,2023-08-25,KS-INJECTION-1000-INT-202308,模拟融资机构,利息,0,25000,11481003,CNY,SYNTHETIC
KS-INJECTION-1000-B0087,2023-08-25,KS-INJECTION-1000-VAT-202308,模拟税费账户,增值税,0,336118,11144885,CNY,SYNTHETIC
KS-INJECTION-1000-B0088,2023-08-25,KS-INJECTION-1000-CIT-202308,模拟税费账户,所得税,0,314930,10829955,CNY,SYNTHETIC
KS-INJECTION-1000-B0089,2023-09-12,KS-INJECTION-1000-S-202309-1,模拟下游1,销售回款,1678186,0,12508141,CNY,SYNTHETIC
KS-INJECTION-1000-B0090,2023-09-13,KS-INJECTION-1000-S-202309-2,模拟下游2,销售回款,1628827,0,14136968,CNY,SYNTHETIC
KS-INJECTION-1000-B0091,2023-09-14,KS-INJECTION-1000-S-202309-3,模拟下游3,销售回款,1628827,0,15765795,CNY,SYNTHETIC
KS-INJECTION-1000-B0092,2023-09-16,KS-INJECTION-1000-P-202309-1,模拟原料商1,原料付款,0,1273447,14492348,CNY,SYNTHETIC
KS-INJECTION-1000-B0093,2023-09-17,KS-INJECTION-1000-P-202309-2,模拟原料商2,原料付款,0,848964,13643384,CNY,SYNTHETIC
KS-INJECTION-1000-B0094,2023-09-25,KS-INJECTION-1000-PAY-202309,模拟工资代发,工资,0,520000,13123384,CNY,SYNTHETIC
KS-INJECTION-1000-B0095,2023-09-25,KS-INJECTION-1000-ELEC-202309,模拟供电结算,电费,0,270400,12852984,CNY,SYNTHETIC
KS-INJECTION-1000-B0096,2023-09-25,KS-INJECTION-1000-OPEX-202309,模拟费用结算,管理销售费用,0,320000,12532984,CNY,SYNTHETIC
KS-INJECTION-1000-B0097,2023-09-25,KS-INJECTION-1000-INT-202309,模拟融资机构,利息,0,25000,12507984,CNY,SYNTHETIC
KS-INJECTION-1000-B0098,2023-09-25,KS-INJECTION-1000-VAT-202309,模拟税费账户,增值税,0,323669,12184315,CNY,SYNTHETIC
KS-INJECTION-1000-B0099,2023-09-25,KS-INJECTION-1000-CIT-202309,模拟税费账户,所得税,0,293590,11890725,CNY,SYNTHETIC
KS-INJECTION-1000-B0100,2023-10-12,KS-INJECTION-1000-S-202310-1,模拟下游1,销售回款,1645913,0,13536638,CNY,SYNTHETIC
KS-INJECTION-1000-B0101,2023-10-13,KS-INJECTION-1000-S-202310-2,模拟下游2,销售回款,1597504,0,15134142,CNY,SYNTHETIC
KS-INJECTION-1000-B0102,2023-10-14,KS-INJECTION-1000-S-202310-3,模拟下游3,销售回款,1597503,0,16731645,CNY,SYNTHETIC
KS-INJECTION-1000-B0103,2023-10-16,KS-INJECTION-1000-P-202310-1,模拟原料商1,原料付款,0,1248958,15482687,CNY,SYNTHETIC
KS-INJECTION-1000-B0104,2023-10-17,KS-INJECTION-1000-P-202310-2,模拟原料商2,原料付款,0,832638,14650049,CNY,SYNTHETIC
KS-INJECTION-1000-B0105,2023-10-25,KS-INJECTION-1000-PAY-202310,模拟工资代发,工资,0,520000,14130049,CNY,SYNTHETIC
KS-INJECTION-1000-B0106,2023-10-25,KS-INJECTION-1000-ELEC-202310,模拟供电结算,电费,0,265200,13864849,CNY,SYNTHETIC
KS-INJECTION-1000-B0107,2023-10-25,KS-INJECTION-1000-OPEX-202310,模拟费用结算,管理销售费用,0,320000,13544849,CNY,SYNTHETIC
KS-INJECTION-1000-B0108,2023-10-25,KS-INJECTION-1000-INT-202310,模拟融资机构,利息,0,25000,13519849,CNY,SYNTHETIC
KS-INJECTION-1000-B0109,2023-10-25,KS-INJECTION-1000-VAT-202310,模拟税费账户,增值税,0,317444,13202405,CNY,SYNTHETIC
KS-INJECTION-1000-B0110,2023-10-25,KS-INJECTION-1000-CIT-202310,模拟税费账户,所得税,0,282920,12919485,CNY,SYNTHETIC
KS-INJECTION-1000-B0111,2023-11-12,KS-INJECTION-1000-S-202311-1,模拟下游1,销售回款,1710458,0,14629943,CNY,SYNTHETIC
KS-INJECTION-1000-B0112,2023-11-13,KS-INJECTION-1000-S-202311-2,模拟下游2,销售回款,1660151,0,16290094,CNY,SYNTHETIC
KS-INJECTION-1000-B0113,2023-11-14,KS-INJECTION-1000-S-202311-3,模拟下游3,销售回款,1660151,0,17950245,CNY,SYNTHETIC
KS-INJECTION-1000-B0114,2023-11-16,KS-INJECTION-1000-P-202311-1,模拟原料商1,原料付款,0,1297936,16652309,CNY,SYNTHETIC
KS-INJECTION-1000-B0115,2023-11-17,KS-INJECTION-1000-P-202311-2,模拟原料商2,原料付款,0,865291,15787018,CNY,SYNTHETIC
KS-INJECTION-1000-B0116,2023-11-25,KS-INJECTION-1000-PAY-202311,模拟工资代发,工资,0,520000,15267018,CNY,SYNTHETIC
KS-INJECTION-1000-B0117,2023-11-25,KS-INJECTION-1000-ELEC-202311,模拟供电结算,电费,0,275600,14991418,CNY,SYNTHETIC
KS-INJECTION-1000-B0118,2023-11-25,KS-INJECTION-1000-OPEX-202311,模拟费用结算,管理销售费用,0,320000,14671418,CNY,SYNTHETIC
KS-INJECTION-1000-B0119,2023-11-25,KS-INJECTION-1000-INT-202311,模拟融资机构,利息,0,25000,14646418,CNY,SYNTHETIC
KS-INJECTION-1000-B0120,2023-11-25,KS-INJECTION-1000-VAT-202311,模拟税费账户,增值税,0,329893,14316525,CNY,SYNTHETIC
KS-INJECTION-1000-B0121,2023-11-25,KS-INJECTION-1000-CIT-202311,模拟税费账户,所得税,0,304260,14012265,CNY,SYNTHETIC
KS-INJECTION-1000-B0122,2023-12-12,KS-INJECTION-1000-S-202312-1,模拟下游1,销售回款,1775004,0,15787269,CNY,SYNTHETIC
KS-INJECTION-1000-B0123,2023-12-13,KS-INJECTION-1000-S-202312-2,模拟下游2,销售回款,1722798,0,17510067,CNY,SYNTHETIC
KS-INJECTION-1000-B0124,2023-12-14,KS-INJECTION-1000-S-202312-3,模拟下游3,销售回款,1722798,0,19232865,CNY,SYNTHETIC
KS-INJECTION-1000-B0125,2023-12-16,KS-INJECTION-1000-P-202312-1,模拟原料商1,原料付款,0,1346915,17885950,CNY,SYNTHETIC
KS-INJECTION-1000-B0126,2023-12-17,KS-INJECTION-1000-P-202312-2,模拟原料商2,原料付款,0,897943,16988007,CNY,SYNTHETIC
KS-INJECTION-1000-B0127,2023-12-25,KS-INJECTION-1000-PAY-202312,模拟工资代发,工资,0,520000,16468007,CNY,SYNTHETIC
KS-INJECTION-1000-B0128,2023-12-25,KS-INJECTION-1000-ELEC-202312,模拟供电结算,电费,0,286000,16182007,CNY,SYNTHETIC
KS-INJECTION-1000-B0129,2023-12-25,KS-INJECTION-1000-OPEX-202312,模拟费用结算,管理销售费用,0,320000,15862007,CNY,SYNTHETIC
KS-INJECTION-1000-B0130,2023-12-25,KS-INJECTION-1000-INT-202312,模拟融资机构,利息,0,25000,15837007,CNY,SYNTHETIC
KS-INJECTION-1000-B0131,2023-12-25,KS-INJECTION-1000-VAT-202312,模拟税费账户,增值税,0,342342,15494665,CNY,SYNTHETIC
KS-INJECTION-1000-B0132,2023-12-25,KS-INJECTION-1000-CIT-202312,模拟税费账户,所得税,0,325600,15169065,CNY,SYNTHETIC
KS-INJECTION-1000-B0133,2023-12-28,KS-INJECTION-1000-DIV-2023,模拟股东,利润分配（筹资）,0,11169065,4000000,CNY,SYNTHETIC
KS-INJECTION-1000-B0134,2024-01-12,KS-INJECTION-1000-S-202401-1,模拟下游1,销售回款,1394185,0,5394185,CNY,SYNTHETIC
KS-INJECTION-1000-B0135,2024-01-13,KS-INJECTION-1000-S-202401-2,模拟下游2,销售回款,1353180,0,6747365,CNY,SYNTHETIC
KS-INJECTION-1000-B0136,2024-01-14,KS-INJECTION-1000-S-202401-3,模拟下游3,销售回款,1353179,0,8100544,CNY,SYNTHETIC
KS-INJECTION-1000-B0137,2024-01-16,KS-INJECTION-1000-P-202401-1,模拟原料商1,原料付款,0,1057940,7042604,CNY,SYNTHETIC
KS-INJECTION-1000-B0138,2024-01-17,KS-INJECTION-1000-P-202401-2,模拟原料商2,原料付款,0,705294,6337310,CNY,SYNTHETIC
KS-INJECTION-1000-B0139,2024-01-25,KS-INJECTION-1000-PAY-202401,模拟工资代发,工资,0,520000,5817310,CNY,SYNTHETIC
KS-INJECTION-1000-B0140,2024-01-25,KS-INJECTION-1000-ELEC-202401,模拟供电结算,电费,0,208000,5609310,CNY,SYNTHETIC
KS-INJECTION-1000-B0141,2024-01-25,KS-INJECTION-1000-OPEX-202401,模拟费用结算,管理销售费用,0,320000,5289310,CNY,SYNTHETIC
KS-INJECTION-1000-B0142,2024-01-25,KS-INJECTION-1000-INT-202401,模拟融资机构,利息,0,25000,5264310,CNY,SYNTHETIC
KS-INJECTION-1000-B0143,2024-01-25,KS-INJECTION-1000-VAT-202401,模拟税费账户,增值税,0,268894,4995416,CNY,SYNTHETIC
KS-INJECTION-1000-B0144,2024-01-25,KS-INJECTION-1000-CIT-202401,模拟税费账户,所得税,0,203854,4791562,CNY,SYNTHETIC
KS-INJECTION-1000-B0145,2024-02-12,KS-INJECTION-1000-S-202402-1,模拟下游1,销售回款,1254767,0,6046329,CNY,SYNTHETIC
KS-INJECTION-1000-B0146,2024-02-13,KS-INJECTION-1000-S-202402-2,模拟下游2,销售回款,1217862,0,7264191,CNY,SYNTHETIC
KS-INJECTION-1000-B0147,2024-02-14,KS-INJECTION-1000-S-202402-3,模拟下游3,销售回款,1217861,0,8482052,CNY,SYNTHETIC
KS-INJECTION-1000-B0148,2024-02-16,KS-INJECTION-1000-P-202402-1,模拟原料商1,原料付款,0,952147,7529905,CNY,SYNTHETIC
KS-INJECTION-1000-B0149,2024-02-17,KS-INJECTION-1000-P-202402-2,模拟原料商2,原料付款,0,634764,6895141,CNY,SYNTHETIC
KS-INJECTION-1000-B0150,2024-02-25,KS-INJECTION-1000-PAY-202402,模拟工资代发,工资,0,520000,6375141,CNY,SYNTHETIC
KS-INJECTION-1000-B0151,2024-02-25,KS-INJECTION-1000-ELEC-202402,模拟供电结算,电费,0,187200,6187941,CNY,SYNTHETIC
KS-INJECTION-1000-B0152,2024-02-25,KS-INJECTION-1000-OPEX-202402,模拟费用结算,管理销售费用,0,320000,5867941,CNY,SYNTHETIC
KS-INJECTION-1000-B0153,2024-02-25,KS-INJECTION-1000-INT-202402,模拟融资机构,利息,0,25000,5842941,CNY,SYNTHETIC
KS-INJECTION-1000-B0154,2024-02-25,KS-INJECTION-1000-VAT-202402,模拟税费账户,增值税,0,242005,5600936,CNY,SYNTHETIC
KS-INJECTION-1000-B0155,2024-02-25,KS-INJECTION-1000-CIT-202402,模拟税费账户,所得税,0,157344,5443592,CNY,SYNTHETIC
KS-INJECTION-1000-B0156,2024-03-12,KS-INJECTION-1000-S-202403-1,模拟下游1,销售回款,1777586,0,7221178,CNY,SYNTHETIC
KS-INJECTION-1000-B0157,2024-03-13,KS-INJECTION-1000-S-202403-2,模拟下游2,销售回款,1725304,0,8946482,CNY,SYNTHETIC
KS-INJECTION-1000-B0158,2024-03-14,KS-INJECTION-1000-S-202403-3,模拟下游3,销售回款,1725304,0,10671786,CNY,SYNTHETIC
KS-INJECTION-1000-B0159,2024-03-16,KS-INJECTION-1000-P-202403-1,模拟原料商1,原料付款,0,1348874,9322912,CNY,SYNTHETIC
KS-INJECTION-1000-B0160,2024-03-17,KS-INJECTION-1000-P-202403-2,模拟原料商2,原料付款,0,899250,8423662,CNY,SYNTHETIC
KS-INJECTION-1000-B0161,2024-03-25,KS-INJECTION-1000-PAY-202403,模拟工资代发,工资,0,520000,7903662,CNY,SYNTHETIC
KS-INJECTION-1000-B0162,2024-03-25,KS-INJECTION-1000-ELEC-202403,模拟供电结算,电费,0,265200,7638462,CNY,SYNTHETIC
KS-INJECTION-1000-B0163,2024-03-25,KS-INJECTION-1000-OPEX-202403,模拟费用结算,管理销售费用,0,320000,7318462,CNY,SYNTHETIC
KS-INJECTION-1000-B0164,2024-03-25,KS-INJECTION-1000-INT-202403,模拟融资机构,利息,0,25000,7293462,CNY,SYNTHETIC
KS-INJECTION-1000-B0165,2024-03-25,KS-INJECTION-1000-VAT-202403,模拟税费账户,增值税,0,342840,6950622,CNY,SYNTHETIC
KS-INJECTION-1000-B0166,2024-03-25,KS-INJECTION-1000-CIT-202403,模拟税费账户,所得税,0,331758,6618864,CNY,SYNTHETIC
KS-INJECTION-1000-B0167,2024-04-12,KS-INJECTION-1000-S-202404-1,模拟下游1,销售回款,1847295,0,8466159,CNY,SYNTHETIC
KS-INJECTION-1000-B0168,2024-04-13,KS-INJECTION-1000-S-202404-2,模拟下游2,销售回款,1792963,0,10259122,CNY,SYNTHETIC
KS-INJECTION-1000-B0169,2024-04-14,KS-INJECTION-1000-S-202404-3,模拟下游3,销售回款,1792963,0,12052085,CNY,SYNTHETIC
KS-INJECTION-1000-B0170,2024-04-16,KS-INJECTION-1000-P-202404-1,模拟原料商1,原料付款,0,1401771,10650314,CNY,SYNTHETIC
KS-INJECTION-1000-B0171,2024-04-17,KS-INJECTION-1000-P-202404-2,模拟原料商2,原料付款,0,934514,9715800,CNY,SYNTHETIC
KS-INJECTION-1000-B0172,2024-04-25,KS-INJECTION-1000-PAY-202404,模拟工资代发,工资,0,520000,9195800,CNY,SYNTHETIC
KS-INJECTION-1000-B0173,2024-04-25,KS-INJECTION-1000-ELEC-202404,模拟供电结算,电费,0,275600,8920200,CNY,SYNTHETIC
KS-INJECTION-1000-B0174,2024-04-25,KS-INJECTION-1000-OPEX-202404,模拟费用结算,管理销售费用,0,320000,8600200,CNY,SYNTHETIC
KS-INJECTION-1000-B0175,2024-04-25,KS-INJECTION-1000-INT-202404,模拟融资机构,利息,0,25000,8575200,CNY,SYNTHETIC
KS-INJECTION-1000-B0176,2024-04-25,KS-INJECTION-1000-VAT-202404,模拟税费账户,增值税,0,356285,8218915,CNY,SYNTHETIC
KS-INJECTION-1000-B0177,2024-04-25,KS-INJECTION-1000-CIT-202404,模拟税费账户,所得税,0,355013,7863902,CNY,SYNTHETIC
KS-INJECTION-1000-B0178,2024-05-12,KS-INJECTION-1000-S-202405-1,模拟下游1,销售回款,1917004,0,9780906,CNY,SYNTHETIC
KS-INJECTION-1000-B0179,2024-05-13,KS-INJECTION-1000-S-202405-2,模拟下游2,销售回款,1860622,0,11641528,CNY,SYNTHETIC
KS-INJECTION-1000-B0180,2024-05-14,KS-INJECTION-1000-S-202405-3,模拟下游3,销售回款,1860622,0,13502150,CNY,SYNTHETIC
KS-INJECTION-1000-B0181,2024-05-16,KS-INJECTION-1000-P-202405-1,模拟原料商1,原料付款,0,1454668,12047482,CNY,SYNTHETIC
