订单号,客户,交付日,余额元,备注
KS-LASER-500-S-202411-1,模拟下游1,2024-11-10,5785,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202411-2,模拟下游2,2024-11-10,5062,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202411-3,模拟下游3,2024-11-10,3616,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202412-1,模拟下游1,2024-12-10,6004,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202412-2,模拟下游2,2024-12-10,5253,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202412-3,模拟下游3,2024-12-10,3752,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202501-1,模拟下游1,2025-01-10,4585,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202501-2,模拟下游2,2025-01-10,4012,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202501-3,模拟下游3,2025-01-10,2865,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202502-1,模拟下游1,2025-02-10,4126,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202502-2,模拟下游2,2025-02-10,3610,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202502-3,模拟下游3,2025-02-10,2579,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202503-1,模拟下游1,2025-03-10,5846,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202503-2,模拟下游2,2025-03-10,5115,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202503-3,模拟下游3,2025-03-10,3654,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202504-1,模拟下游1,2025-04-10,6074,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202504-2,模拟下游2,2025-04-10,5315,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202504-3,模拟下游3,2025-04-10,3796,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202505-1,模拟下游1,2025-05-10,6304,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202505-2,模拟下游2,2025-05-10,5516,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202505-3,模拟下游3,2025-05-10,3940,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202506-1,模拟下游1,2025-06-10,6017,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202506-2,模拟下游2,2025-06-10,5265,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202506-3,模拟下游3,2025-06-10,3761,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202507-1,模拟下游1,2025-07-10,6189,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202507-2,模拟下游2,2025-07-10,5416,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202507-3,模拟下游3,2025-07-10,3868,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202508-1,模拟下游1,2025-08-10,6189,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202508-2,模拟下游2,2025-08-10,5416,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202508-3,模拟下游3,2025-08-10,3868,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202509-1,模拟下游1,2025-09-10,5960,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202509-2,模拟下游2,2025-09-10,5215,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202509-3,模拟下游3,2025-09-10,3725,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202510-1,模拟下游1,2025-10-10,5846,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202510-2,模拟下游2,2025-10-10,5115,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202510-3,模拟下游3,2025-10-10,3654,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202511-1,模拟下游1,2025-11-10,6074,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202511-2,模拟下游2,2025-11-10,5315,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202511-3,模拟下游3,2025-11-10,3796,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202512-1,模拟下游1,2025-12-10,6304,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202512-2,模拟下游2,2025-12-10,5516,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202512-3,模拟下游3,2025-12-10,3940,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202601-1,模拟下游1,2026-01-10,48139,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202601-2,模拟下游2,2026-01-10,42121,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202601-3,模拟下游3,2026-01-10,30087,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202602-1,模拟下游1,2026-02-10,43325,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202602-2,模拟下游2,2026-02-10,37910,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202602-3,模拟下游3,2026-02-10,27078,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202603-1,模拟下游1,2026-03-10,61378,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202603-2,模拟下游2,2026-03-10,53706,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202603-3,模拟下游3,2026-03-10,38361,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202604-1,模拟下游1,2026-04-10,63785,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202604-2,模拟下游2,2026-04-10,55812,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202604-3,模拟下游3,2026-04-10,39865,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202605-1,模拟下游1,2026-05-10,66191,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202605-2,模拟下游2,2026-05-10,57917,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202605-3,模拟下游3,2026-05-10,41370,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202606-1,模拟下游1,2026-06-10,63182,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202606-2,模拟下游2,2026-06-10,55284,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202606-3,模拟下游3,2026-06-10,39489,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202607-1,模拟下游1,2026-07-10,64985,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202607-2,模拟下游2,2026-07-10,56862,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202607-3,模拟下游3,2026-07-10,40616,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202608-1,模拟下游1,2026-08-10,64985,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202608-2,模拟下游2,2026-08-10,56862,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202608-3,模拟下游3,2026-08-10,40616,本期未收尾款；历史尾款持续未清需解释
