流水号,日期,关联单号,对手方,摘要,收入元,支出元,余额元,币种,标识
KS-LASER-500-B0033,2023-03-25,KS-LASER-500-CIT-202303,模拟税费账户,所得税,0,95000,2201992,CNY,SYNTHETIC
KS-LASER-500-B0034,2023-04-12,KS-LASER-500-S-202304-1,模拟下游1,销售回款,1096466,0,3298458,CNY,SYNTHETIC
KS-LASER-500-B0035,2023-04-13,KS-LASER-500-S-202304-2,模拟下游2,销售回款,959408,0,4257866,CNY,SYNTHETIC
KS-LASER-500-B0036,2023-04-14,KS-LASER-500-S-202304-3,模拟下游3,销售回款,685291,0,4943157,CNY,SYNTHETIC
KS-LASER-500-B0037,2023-04-16,KS-LASER-500-P-202304-1,模拟原料商1,原料付款,0,826482,4116675,CNY,SYNTHETIC
KS-LASER-500-B0038,2023-04-17,KS-LASER-500-P-202304-2,模拟原料商2,原料付款,0,550988,3565687,CNY,SYNTHETIC
KS-LASER-500-B0039,2023-04-25,KS-LASER-500-PAY-202304,模拟工资代发,工资,0,350000,3215687,CNY,SYNTHETIC
KS-LASER-500-B0040,2023-04-25,KS-LASER-500-ELEC-202304,模拟供电结算,电费,0,159000,3056687,CNY,SYNTHETIC
KS-LASER-500-B0041,2023-04-25,KS-LASER-500-OPEX-202304,模拟费用结算,管理销售费用,0,180000,2876687,CNY,SYNTHETIC
KS-LASER-500-B0042,2023-04-25,KS-LASER-500-INT-202304,模拟融资机构,利息,0,20000,2856687,CNY,SYNTHETIC
KS-LASER-500-B0043,2023-04-25,KS-LASER-500-VAT-202304,模拟税费账户,增值税,0,158470,2698217,CNY,SYNTHETIC
KS-LASER-500-B0044,2023-04-25,KS-LASER-500-CIT-202304,模拟税费账户,所得税,0,105000,2593217,CNY,SYNTHETIC
KS-LASER-500-B0045,2023-05-12,KS-LASER-500-S-202305-1,模拟下游1,销售回款,1137842,0,3731059,CNY,SYNTHETIC
KS-LASER-500-B0046,2023-05-13,KS-LASER-500-S-202305-2,模拟下游2,销售回款,995612,0,4726671,CNY,SYNTHETIC
KS-LASER-500-B0047,2023-05-14,KS-LASER-500-S-202305-3,模拟下游3,销售回款,711151,0,5437822,CNY,SYNTHETIC
KS-LASER-500-B0048,2023-05-16,KS-LASER-500-P-202305-1,模拟原料商1,原料付款,0,857670,4580152,CNY,SYNTHETIC
KS-LASER-500-B0049,2023-05-17,KS-LASER-500-P-202305-2,模拟原料商2,原料付款,0,571780,4008372,CNY,SYNTHETIC
KS-LASER-500-B0050,2023-05-25,KS-LASER-500-PAY-202305,模拟工资代发,工资,0,350000,3658372,CNY,SYNTHETIC
KS-LASER-500-B0051,2023-05-25,KS-LASER-500-ELEC-202305,模拟供电结算,电费,0,165000,3493372,CNY,SYNTHETIC
KS-LASER-500-B0052,2023-05-25,KS-LASER-500-OPEX-202305,模拟费用结算,管理销售费用,0,180000,3313372,CNY,SYNTHETIC
KS-LASER-500-B0053,2023-05-25,KS-LASER-500-INT-202305,模拟融资机构,利息,0,20000,3293372,CNY,SYNTHETIC
KS-LASER-500-B0054,2023-05-25,KS-LASER-500-VAT-202305,模拟税费账户,增值税,0,164450,3128922,CNY,SYNTHETIC
KS-LASER-500-B0055,2023-05-25,KS-LASER-500-CIT-202305,模拟税费账户,所得税,0,115000,3013922,CNY,SYNTHETIC
KS-LASER-500-B0056,2023-06-12,KS-LASER-500-S-202306-1,模拟下游1,销售回款,1086122,0,4100044,CNY,SYNTHETIC
KS-LASER-500-B0057,2023-06-13,KS-LASER-500-S-202306-2,模拟下游2,销售回款,950356,0,5050400,CNY,SYNTHETIC
KS-LASER-500-B0058,2023-06-14,KS-LASER-500-S-202306-3,模拟下游3,销售回款,678827,0,5729227,CNY,SYNTHETIC
KS-LASER-500-B0059,2023-06-16,KS-LASER-500-P-202306-1,模拟原料商1,原料付款,0,818685,4910542,CNY,SYNTHETIC
KS-LASER-500-B0060,2023-06-17,KS-LASER-500-P-202306-2,模拟原料商2,原料付款,0,545790,4364752,CNY,SYNTHETIC
KS-LASER-500-B0061,2023-06-25,KS-LASER-500-PAY-202306,模拟工资代发,工资,0,350000,4014752,CNY,SYNTHETIC
KS-LASER-500-B0062,2023-06-25,KS-LASER-500-ELEC-202306,模拟供电结算,电费,0,157500,3857252,CNY,SYNTHETIC
KS-LASER-500-B0063,2023-06-25,KS-LASER-500-OPEX-202306,模拟费用结算,管理销售费用,0,180000,3677252,CNY,SYNTHETIC
KS-LASER-500-B0064,2023-06-25,KS-LASER-500-INT-202306,模拟融资机构,利息,0,20000,3657252,CNY,SYNTHETIC
KS-LASER-500-B0065,2023-06-25,KS-LASER-500-VAT-202306,模拟税费账户,增值税,0,156975,3500277,CNY,SYNTHETIC
KS-LASER-500-B0066,2023-06-25,KS-LASER-500-CIT-202306,模拟税费账户,所得税,0,102500,3397777,CNY,SYNTHETIC
KS-LASER-500-B0067,2023-07-12,KS-LASER-500-S-202307-1,模拟下游1,销售回款,1117154,0,4514931,CNY,SYNTHETIC
KS-LASER-500-B0068,2023-07-13,KS-LASER-500-S-202307-2,模拟下游2,销售回款,977510,0,5492441,CNY,SYNTHETIC
KS-LASER-500-B0069,2023-07-14,KS-LASER-500-S-202307-3,模拟下游3,销售回款,698221,0,6190662,CNY,SYNTHETIC
KS-LASER-500-B0070,2023-07-16,KS-LASER-500-P-202307-1,模拟原料商1,原料付款,0,842076,5348586,CNY,SYNTHETIC
KS-LASER-500-B0071,2023-07-17,KS-LASER-500-P-202307-2,模拟原料商2,原料付款,0,561384,4787202,CNY,SYNTHETIC
KS-LASER-500-B0072,2023-07-25,KS-LASER-500-PAY-202307,模拟工资代发,工资,0,350000,4437202,CNY,SYNTHETIC
KS-LASER-500-B0073,2023-07-25,KS-LASER-500-ELEC-202307,模拟供电结算,电费,0,162000,4275202,CNY,SYNTHETIC
KS-LASER-500-B0074,2023-07-25,KS-LASER-500-OPEX-202307,模拟费用结算,管理销售费用,0,180000,4095202,CNY,SYNTHETIC
KS-LASER-500-B0075,2023-07-25,KS-LASER-500-INT-202307,模拟融资机构,利息,0,20000,4075202,CNY,SYNTHETIC
KS-LASER-500-B0076,2023-07-25,KS-LASER-500-VAT-202307,模拟税费账户,增值税,0,161460,3913742,CNY,SYNTHETIC
KS-LASER-500-B0077,2023-07-25,KS-LASER-500-CIT-202307,模拟税费账户,所得税,0,110000,3803742,CNY,SYNTHETIC
KS-LASER-500-B0078,2023-08-12,KS-LASER-500-S-202308-1,模拟下游1,销售回款,1117154,0,4920896,CNY,SYNTHETIC
KS-LASER-500-B0079,2023-08-13,KS-LASER-500-S-202308-2,模拟下游2,销售回款,977510,0,5898406,CNY,SYNTHETIC
KS-LASER-500-B0080,2023-08-14,KS-LASER-500-S-202308-3,模拟下游3,销售回款,698221,0,6596627,CNY,SYNTHETIC
KS-LASER-500-B0081,2023-08-16,KS-LASER-500-P-202308-1,模拟原料商1,原料付款,0,842076,5754551,CNY,SYNTHETIC
KS-LASER-500-B0082,2023-08-17,KS-LASER-500-P-202308-2,模拟原料商2,原料付款,0,561384,5193167,CNY,SYNTHETIC
KS-LASER-500-B0083,2023-08-25,KS-LASER-500-PAY-202308,模拟工资代发,工资,0,350000,4843167,CNY,SYNTHETIC
KS-LASER-500-B0084,2023-08-25,KS-LASER-500-ELEC-202308,模拟供电结算,电费,0,162000,4681167,CNY,SYNTHETIC
KS-LASER-500-B0085,2023-08-25,KS-LASER-500-OPEX-202308,模拟费用结算,管理销售费用,0,180000,4501167,CNY,SYNTHETIC
KS-LASER-500-B0086,2023-08-25,KS-LASER-500-INT-202308,模拟融资机构,利息,0,20000,4481167,CNY,SYNTHETIC
KS-LASER-500-B0087,2023-08-25,KS-LASER-500-VAT-202308,模拟税费账户,增值税,0,161460,4319707,CNY,SYNTHETIC
KS-LASER-500-B0088,2023-08-25,KS-LASER-500-CIT-202308,模拟税费账户,所得税,0,110000,4209707,CNY,SYNTHETIC
KS-LASER-500-B0089,2023-09-12,KS-LASER-500-S-202309-1,模拟下游1,销售回款,1075778,0,5285485,CNY,SYNTHETIC
KS-LASER-500-B0090,2023-09-13,KS-LASER-500-S-202309-2,模拟下游2,销售回款,941306,0,6226791,CNY,SYNTHETIC
KS-LASER-500-B0091,2023-09-14,KS-LASER-500-S-202309-3,模拟下游3,销售回款,672361,0,6899152,CNY,SYNTHETIC
KS-LASER-500-B0092,2023-09-16,KS-LASER-500-P-202309-1,模拟原料商1,原料付款,0,810888,6088264,CNY,SYNTHETIC
KS-LASER-500-B0093,2023-09-17,KS-LASER-500-P-202309-2,模拟原料商2,原料付款,0,540592,5547672,CNY,SYNTHETIC
KS-LASER-500-B0094,2023-09-25,KS-LASER-500-PAY-202309,模拟工资代发,工资,0,350000,5197672,CNY,SYNTHETIC
KS-LASER-500-B0095,2023-09-25,KS-LASER-500-ELEC-202309,模拟供电结算,电费,0,156000,5041672,CNY,SYNTHETIC
KS-LASER-500-B0096,2023-09-25,KS-LASER-500-OPEX-202309,模拟费用结算,管理销售费用,0,180000,4861672,CNY,SYNTHETIC
KS-LASER-500-B0097,2023-09-25,KS-LASER-500-INT-202309,模拟融资机构,利息,0,20000,4841672,CNY,SYNTHETIC
KS-LASER-500-B0098,2023-09-25,KS-LASER-500-VAT-202309,模拟税费账户,增值税,0,155480,4686192,CNY,SYNTHETIC
KS-LASER-500-B0099,2023-09-25,KS-LASER-500-CIT-202309,模拟税费账户,所得税,0,100000,4586192,CNY,SYNTHETIC
KS-LASER-500-B0100,2023-10-12,KS-LASER-500-S-202310-1,模拟下游1,销售回款,1055090,0,5641282,CNY,SYNTHETIC
KS-LASER-500-B0101,2023-10-13,KS-LASER-500-S-202310-2,模拟下游2,销售回款,923204,0,6564486,CNY,SYNTHETIC
KS-LASER-500-B0102,2023-10-14,KS-LASER-500-S-202310-3,模拟下游3,销售回款,659431,0,7223917,CNY,SYNTHETIC
KS-LASER-500-B0103,2023-10-16,KS-LASER-500-P-202310-1,模拟原料商1,原料付款,0,795294,6428623,CNY,SYNTHETIC
KS-LASER-500-B0104,2023-10-17,KS-LASER-500-P-202310-2,模拟原料商2,原料付款,0,530196,5898427,CNY,SYNTHETIC
KS-LASER-500-B0105,2023-10-25,KS-LASER-500-PAY-202310,模拟工资代发,工资,0,350000,5548427,CNY,SYNTHETIC
KS-LASER-500-B0106,2023-10-25,KS-LASER-500-ELEC-202310,模拟供电结算,电费,0,153000,5395427,CNY,SYNTHETIC
KS-LASER-500-B0107,2023-10-25,KS-LASER-500-OPEX-202310,模拟费用结算,管理销售费用,0,180000,5215427,CNY,SYNTHETIC
KS-LASER-500-B0108,2023-10-25,KS-LASER-500-INT-202310,模拟融资机构,利息,0,20000,5195427,CNY,SYNTHETIC
KS-LASER-500-B0109,2023-10-25,KS-LASER-500-VAT-202310,模拟税费账户,增值税,0,152490,5042937,CNY,SYNTHETIC
KS-LASER-500-B0110,2023-10-25,KS-LASER-500-CIT-202310,模拟税费账户,所得税,0,95000,4947937,CNY,SYNTHETIC
KS-LASER-500-B0111,2023-11-12,KS-LASER-500-S-202311-1,模拟下游1,销售回款,1096466,0,6044403,CNY,SYNTHETIC
KS-LASER-500-B0112,2023-11-13,KS-LASER-500-S-202311-2,模拟下游2,销售回款,959408,0,7003811,CNY,SYNTHETIC
KS-LASER-500-B0113,2023-11-14,KS-LASER-500-S-202311-3,模拟下游3,销售回款,685291,0,7689102,CNY,SYNTHETIC
KS-LASER-500-B0114,2023-11-16,KS-LASER-500-P-202311-1,模拟原料商1,原料付款,0,826482,6862620,CNY,SYNTHETIC
KS-LASER-500-B0115,2023-11-17,KS-LASER-500-P-202311-2,模拟原料商2,原料付款,0,550988,6311632,CNY,SYNTHETIC
KS-LASER-500-B0116,2023-11-25,KS-LASER-500-PAY-202311,模拟工资代发,工资,0,350000,5961632,CNY,SYNTHETIC
KS-LASER-500-B0117,2023-11-25,KS-LASER-500-ELEC-202311,模拟供电结算,电费,0,159000,5802632,CNY,SYNTHETIC
KS-LASER-500-B0118,2023-11-25,KS-LASER-500-OPEX-202311,模拟费用结算,管理销售费用,0,180000,5622632,CNY,SYNTHETIC
KS-LASER-500-B0119,2023-11-25,KS-LASER-500-INT-202311,模拟融资机构,利息,0,20000,5602632,CNY,SYNTHETIC
KS-LASER-500-B0120,2023-11-25,KS-LASER-500-VAT-202311,模拟税费账户,增值税,0,158470,5444162,CNY,SYNTHETIC
KS-LASER-500-B0121,2023-11-25,KS-LASER-500-CIT-202311,模拟税费账户,所得税,0,105000,5339162,CNY,SYNTHETIC
KS-LASER-500-B0122,2023-12-12,KS-LASER-500-S-202312-1,模拟下游1,销售回款,1137842,0,6477004,CNY,SYNTHETIC
KS-LASER-500-B0123,2023-12-13,KS-LASER-500-S-202312-2,模拟下游2,销售回款,995612,0,7472616,CNY,SYNTHETIC
KS-LASER-500-B0124,2023-12-14,KS-LASER-500-S-202312-3,模拟下游3,销售回款,711151,0,8183767,CNY,SYNTHETIC
KS-LASER-500-B0125,2023-12-16,KS-LASER-500-P-202312-1,模拟原料商1,原料付款,0,857670,7326097,CNY,SYNTHETIC
KS-LASER-500-B0126,2023-12-17,KS-LASER-500-P-202312-2,模拟原料商2,原料付款,0,571780,6754317,CNY,SYNTHETIC
KS-LASER-500-B0127,2023-12-25,KS-LASER-500-PAY-202312,模拟工资代发,工资,0,350000,6404317,CNY,SYNTHETIC
KS-LASER-500-B0128,2023-12-25,KS-LASER-500-ELEC-202312,模拟供电结算,电费,0,165000,6239317,CNY,SYNTHETIC
KS-LASER-500-B0129,2023-12-25,KS-LASER-500-OPEX-202312,模拟费用结算,管理销售费用,0,180000,6059317,CNY,SYNTHETIC
KS-LASER-500-B0130,2023-12-25,KS-LASER-500-INT-202312,模拟融资机构,利息,0,20000,6039317,CNY,SYNTHETIC
KS-LASER-500-B0131,2023-12-25,KS-LASER-500-VAT-202312,模拟税费账户,增值税,0,164450,5874867,CNY,SYNTHETIC
KS-LASER-500-B0132,2023-12-25,KS-LASER-500-CIT-202312,模拟税费账户,所得税,0,115000,5759867,CNY,SYNTHETIC
KS-LASER-500-B0133,2023-12-28,KS-LASER-500-DIV-2023,模拟股东,利润分配（筹资）,0,3759867,2000000,CNY,SYNTHETIC
KS-LASER-500-B0134,2024-01-12,KS-LASER-500-S-202401-1,模拟下游1,销售回款,868898,0,2868898,CNY,SYNTHETIC
KS-LASER-500-B0135,2024-01-13,KS-LASER-500-S-202401-2,模拟下游2,销售回款,760285,0,3629183,CNY,SYNTHETIC
KS-LASER-500-B0136,2024-01-14,KS-LASER-500-S-202401-3,模拟下游3,销售回款,543061,0,4172244,CNY,SYNTHETIC
KS-LASER-500-B0137,2024-01-16,KS-LASER-500-P-202401-1,模拟原料商1,原料付款,0,654948,3517296,CNY,SYNTHETIC
KS-LASER-500-B0138,2024-01-17,KS-LASER-500-P-202401-2,模拟原料商2,原料付款,0,436632,3080664,CNY,SYNTHETIC
KS-LASER-500-B0139,2024-01-25,KS-LASER-500-PAY-202401,模拟工资代发,工资,0,350000,2730664,CNY,SYNTHETIC
KS-LASER-500-B0140,2024-01-25,KS-LASER-500-ELEC-202401,模拟供电结算,电费,0,120000,2610664,CNY,SYNTHETIC
KS-LASER-500-B0141,2024-01-25,KS-LASER-500-OPEX-202401,模拟费用结算,管理销售费用,0,180000,2430664,CNY,SYNTHETIC
KS-LASER-500-B0142,2024-01-25,KS-LASER-500-INT-202401,模拟融资机构,利息,0,20000,2410664,CNY,SYNTHETIC
KS-LASER-500-B0143,2024-01-25,KS-LASER-500-VAT-202401,模拟税费账户,增值税,0,125580,2285084,CNY,SYNTHETIC
KS-LASER-500-B0144,2024-01-25,KS-LASER-500-CIT-202401,模拟税费账户,所得税,0,51500,2233584,CNY,SYNTHETIC
KS-LASER-500-B0145,2024-02-12,KS-LASER-500-S-202402-1,模拟下游1,销售回款,782008,0,3015592,CNY,SYNTHETIC
KS-LASER-500-B0146,2024-02-13,KS-LASER-500-S-202402-2,模拟下游2,销售回款,684257,0,3699849,CNY,SYNTHETIC
KS-LASER-500-B0147,2024-02-14,KS-LASER-500-S-202402-3,模拟下游3,销售回款,488755,0,4188604,CNY,SYNTHETIC
KS-LASER-500-B0148,2024-02-16,KS-LASER-500-P-202402-1,模拟原料商1,原料付款,0,589453,3599151,CNY,SYNTHETIC
KS-LASER-500-B0149,2024-02-17,KS-LASER-500-P-202402-2,模拟原料商2,原料付款,0,392969,3206182,CNY,SYNTHETIC
KS-LASER-500-B0150,2024-02-25,KS-LASER-500-PAY-202402,模拟工资代发,工资,0,350000,2856182,CNY,SYNTHETIC
KS-LASER-500-B0151,2024-02-25,KS-LASER-500-ELEC-202402,模拟供电结算,电费,0,108000,2748182,CNY,SYNTHETIC
KS-LASER-500-B0152,2024-02-25,KS-LASER-500-OPEX-202402,模拟费用结算,管理销售费用,0,180000,2568182,CNY,SYNTHETIC
KS-LASER-500-B0153,2024-02-25,KS-LASER-500-INT-202402,模拟融资机构,利息,0,20000,2548182,CNY,SYNTHETIC
KS-LASER-500-B0154,2024-02-25,KS-LASER-500-VAT-202402,模拟税费账户,增值税,0,113022,2435160,CNY,SYNTHETIC
KS-LASER-500-B0155,2024-02-25,KS-LASER-500-CIT-202402,模拟税费账户,所得税,0,30350,2404810,CNY,SYNTHETIC
KS-LASER-500-B0156,2024-03-12,KS-LASER-500-S-202403-1,模拟下游1,销售回款,1107845,0,3512655,CNY,SYNTHETIC
KS-LASER-500-B0157,2024-03-13,KS-LASER-500-S-202403-2,模拟下游2,销售回款,969364,0,4482019,CNY,SYNTHETIC
KS-LASER-500-B0158,2024-03-14,KS-LASER-500-S-202403-3,模拟下游3,销售回款,692403,0,5174422,CNY,SYNTHETIC
KS-LASER-500-B0159,2024-03-16,KS-LASER-500-P-202403-1,模拟原料商1,原料付款,0,835058,4339364,CNY,SYNTHETIC
KS-LASER-500-B0160,2024-03-17,KS-LASER-500-P-202403-2,模拟原料商2,原料付款,0,556706,3782658,CNY,SYNTHETIC
KS-LASER-500-B0161,2024-03-25,KS-LASER-500-PAY-202403,模拟工资代发,工资,0,350000,3432658,CNY,SYNTHETIC
KS-LASER-500-B0162,2024-03-25,KS-LASER-500-ELEC-202403,模拟供电结算,电费,0,153000,3279658,CNY,SYNTHETIC
KS-LASER-500-B0163,2024-03-25,KS-LASER-500-OPEX-202403,模拟费用结算,管理销售费用,0,180000,3099658,CNY,SYNTHETIC
KS-LASER-500-B0164,2024-03-25,KS-LASER-500-INT-202403,模拟融资机构,利息,0,20000,3079658,CNY,SYNTHETIC
KS-LASER-500-B0165,2024-03-25,KS-LASER-500-VAT-202403,模拟税费账户,增值税,0,160115,2919543,CNY,SYNTHETIC
KS-LASER-500-B0166,2024-03-25,KS-LASER-500-CIT-202403,模拟税费账户,所得税,0,109662,2809881,CNY,SYNTHETIC
KS-LASER-500-B0167,2024-04-12,KS-LASER-500-S-202404-1,模拟下游1,销售回款,1151290,0,3961171,CNY,SYNTHETIC
KS-LASER-500-B0168,2024-04-13,KS-LASER-500-S-202404-2,模拟下游2,销售回款,1007378,0,4968549,CNY,SYNTHETIC
KS-LASER-500-B0169,2024-04-14,KS-LASER-500-S-202404-3,模拟下游3,销售回款,719556,0,5688105,CNY,SYNTHETIC
KS-LASER-500-B0170,2024-04-16,KS-LASER-500-P-202404-1,模拟原料商1,原料付款,0,867806,4820299,CNY,SYNTHETIC
KS-LASER-500-B0171,2024-04-17,KS-LASER-500-P-202404-2,模拟原料商2,原料付款,0,578538,4241761,CNY,SYNTHETIC
KS-LASER-500-B0172,2024-04-25,KS-LASER-500-PAY-202404,模拟工资代发,工资,0,350000,3891761,CNY,SYNTHETIC
KS-LASER-500-B0173,2024-04-25,KS-LASER-500-ELEC-202404,模拟供电结算,电费,0,159000,3732761,CNY,SYNTHETIC
KS-LASER-500-B0174,2024-04-25,KS-LASER-500-OPEX-202404,模拟费用结算,管理销售费用,0,180000,3552761,CNY,SYNTHETIC
KS-LASER-500-B0175,2024-04-25,KS-LASER-500-INT-202404,模拟融资机构,利息,0,20000,3532761,CNY,SYNTHETIC
KS-LASER-500-B0176,2024-04-25,KS-LASER-500-VAT-202404,模拟税费账户,增值税,0,166393,3366368,CNY,SYNTHETIC
KS-LASER-500-B0177,2024-04-25,KS-LASER-500-CIT-202404,模拟税费账户,所得税,0,120238,3246130,CNY,SYNTHETIC
KS-LASER-500-B0178,2024-05-12,KS-LASER-500-S-202405-1,模拟下游1,销售回款,1194734,0,4440864,CNY,SYNTHETIC
KS-LASER-500-B0179,2024-05-13,KS-LASER-500-S-202405-2,模拟下游2,销售回款,1045393,0,5486257,CNY,SYNTHETIC
KS-LASER-500-B0180,2024-05-14,KS-LASER-500-S-202405-3,模拟下游3,销售回款,746709,0,6232966,CNY,SYNTHETIC
KS-LASER-500-B0181,2024-05-16,KS-LASER-500-P-202405-1,模拟原料商1,原料付款,0,900553,5332413,CNY,SYNTHETIC
KS-LASER-500-B0182,2024-05-17,KS-LASER-500-P-202405-2,模拟原料商2,原料付款,0,600369,4732044,CNY,SYNTHETIC
KS-LASER-500-B0183,2024-05-25,KS-LASER-500-PAY-202405,模拟工资代发,工资,0,350000,4382044,CNY,SYNTHETIC
KS-LASER-500-B0184,2024-05-25,KS-LASER-500-ELEC-202405,模拟供电结算,电费,0,165000,4217044,CNY,SYNTHETIC
KS-LASER-500-B0185,2024-05-25,KS-LASER-500-OPEX-202405,模拟费用结算,管理销售费用,0,180000,4037044,CNY,SYNTHETIC
KS-LASER-500-B0186,2024-05-25,KS-LASER-500-INT-202405,模拟融资机构,利息,0,20000,4017044,CNY,SYNTHETIC
KS-LASER-500-B0187,2024-05-25,KS-LASER-500-VAT-202405,模拟税费账户,增值税,0,172673,3844371,CNY,SYNTHETIC
KS-LASER-500-B0188,2024-05-25,KS-LASER-500-CIT-202405,模拟税费账户,所得税,0,130812,3713559,CNY,SYNTHETIC
KS-LASER-500-B0189,2024-06-12,KS-LASER-500-S-202406-1,模拟下游1,销售回款,1140428,0,4853987,CNY,SYNTHETIC
KS-LASER-500-B0190,2024-06-13,KS-LASER-500-S-202406-2,模拟下游2,销售回款,997875,0,5851862,CNY,SYNTHETIC
KS-LASER-500-B0191,2024-06-14,KS-LASER-500-S-202406-3,模拟下游3,销售回款,712768,0,6564630,CNY,SYNTHETIC
KS-LASER-500-B0192,2024-06-16,KS-LASER-500-P-202406-1,模拟原料商1,原料付款,0,859619,5705011,CNY,SYNTHETIC
KS-LASER-500-B0193,2024-06-17,KS-LASER-500-P-202406-2,模拟原料商2,原料付款,0,573080,5131931,CNY,SYNTHETIC
KS-LASER-500-B0194,2024-06-25,KS-LASER-500-PAY-202406,模拟工资代发,工资,0,350000,4781931,CNY,SYNTHETIC
KS-LASER-500-B0195,2024-06-25,KS-LASER-500-ELEC-202406,模拟供电结算,电费,0,157500,4624431,CNY,SYNTHETIC
KS-LASER-500-B0196,2024-06-25,KS-LASER-500-OPEX-202406,模拟费用结算,管理销售费用,0,180000,4444431,CNY,SYNTHETIC
KS-LASER-500-B0197,2024-06-25,KS-LASER-500-INT-202406,模拟融资机构,利息,0,20000,4424431,CNY,SYNTHETIC
