月份,批次,产品,投入件数或kg,良品件数或kg,损耗件数或kg,原料领用kg,电量kWh,电费元,产出单位,备注
2024-10,KS-LASER-500-LOT-202410,标准金属加工件,12600,10710,1890,205275.0,204000,153000,件,计划口径；产能及耗用待现场验证
2024-11,KS-LASER-500-LOT-202411,标准金属加工件,13095,11130,1965,213325.0,212000,159000,件,计划口径；产能及耗用待现场验证
2024-12,KS-LASER-500-LOT-202412,标准金属加工件,13589,11550,2039,221375.0,220000,165000,件,计划口径；产能及耗用待现场验证
2025-01,KS-LASER-500-LOT-202501,标准金属加工件,10377,8820,1557,169050.0,160000,120000,件,计划口径；产能及耗用待现场验证
2025-02,KS-LASER-500-LOT-202502,标准金属加工件,9339,7938,1401,152145.0,144000,108000,件,计划口径；产能及耗用待现场验证
2025-03,KS-LASER-500-LOT-202503,标准金属加工件,13231,11246,1985,215548.333,204000,153000,件,计划口径；产能及耗用待现场验证
2025-04,KS-LASER-500-LOT-202504,标准金属加工件,13749,11686,2063,223981.667,212000,159000,件,计划口径；产能及耗用待现场验证
2025-05,KS-LASER-500-LOT-202505,标准金属加工件,14269,12128,2141,232453.333,220000,165000,件,计划口径；产能及耗用待现场验证
2025-06,KS-LASER-500-LOT-202506,标准金属加工件,13619,11576,2043,221873.333,210000,157500,件,计划口径；产能及耗用待现场验证
2025-07,KS-LASER-500-LOT-202507,标准金属加工件,14009,11907,2102,228217.5,216000,162000,件,计划口径；产能及耗用待现场验证
2025-08,KS-LASER-500-LOT-202508,标准金属加工件,14009,11907,2102,228217.5,216000,162000,件,计划口径；产能及耗用待现场验证
2025-09,KS-LASER-500-LOT-202509,标准金属加工件,13490,11466,2024,219765.0,208000,156000,件,计划口径；产能及耗用待现场验证
2025-10,KS-LASER-500-LOT-202510,标准金属加工件,13231,11246,1985,215548.333,204000,153000,件,计划口径；产能及耗用待现场验证
2025-11,KS-LASER-500-LOT-202511,标准金属加工件,13749,11686,2063,223981.667,212000,159000,件,计划口径；产能及耗用待现场验证
2025-12,KS-LASER-500-LOT-202512,标准金属加工件,14269,12128,2141,232453.333,220000,165000,件,计划口径；产能及耗用待现场验证
2026-01,KS-LASER-500-LOT-202601,标准金属加工件,10896,9261,1635,177502.5,160000,120000,件,计划口径；产能及耗用待现场验证
2026-02,KS-LASER-500-LOT-202602,标准金属加工件,9806,8335,1471,159754.167,144000,108000,件,计划口径；产能及耗用待现场验证
2026-03,KS-LASER-500-LOT-202603,标准金属加工件,13892,11808,2084,226320.0,204000,153000,件,计划口径；产能及耗用待现场验证
2026-04,KS-LASER-500-LOT-202604,标准金属加工件,14437,12271,2166,235194.167,212000,159000,件,计划口径；产能及耗用待现场验证
2026-05,KS-LASER-500-LOT-202605,标准金属加工件,14982,12734,2248,244068.333,220000,165000,件,计划口径；产能及耗用待现场验证
2026-06,KS-LASER-500-LOT-202606,标准金属加工件,14300,12155,2145,232970.833,210000,157500,件,计划口径；产能及耗用待现场验证
2026-07,KS-LASER-500-LOT-202607,标准金属加工件,14709,12502,2207,239621.667,216000,162000,件,计划口径；产能及耗用待现场验证
2026-08,KS-LASER-500-LOT-202608,标准金属加工件,14709,12502,2207,239621.667,216000,162000,件,计划口径；产能及耗用待现场验证
