采购号,日期,供应商,原料,数量kg,单价元kg,不含税元,税额元,价税合计元,模拟发票号,入库单号,标识
KS-LASER-500-P-202407-1,2024-07-08,模拟原料商1,钢板,130410.0,6,782460,101720,884180,KS-LASER-500-P-202407-1-INV,KS-LASER-500-P-202407-1-GRN,SYNTHETIC
KS-LASER-500-P-202407-2,2024-07-08,模拟原料商2,钢板,86940.0,6,521640,67813,589453,KS-LASER-500-P-202407-2-INV,KS-LASER-500-P-202407-2-GRN,SYNTHETIC
KS-LASER-500-P-202408-1,2024-08-08,模拟原料商1,钢板,130410.0,6,782460,101720,884180,KS-LASER-500-P-202408-1-INV,KS-LASER-500-P-202408-1-GRN,SYNTHETIC
KS-LASER-500-P-202408-2,2024-08-08,模拟原料商2,钢板,86940.0,6,521640,67813,589453,KS-LASER-500-P-202408-2-INV,KS-LASER-500-P-202408-2-GRN,SYNTHETIC
KS-LASER-500-P-202409-1,2024-09-08,模拟原料商1,钢板,125580.0,6,753480,97952,851432,KS-LASER-500-P-202409-1-INV,KS-LASER-500-P-202409-1-GRN,SYNTHETIC
KS-LASER-500-P-202409-2,2024-09-08,模拟原料商2,钢板,83720.0,6,502320,65302,567622,KS-LASER-500-P-202409-2-INV,KS-LASER-500-P-202409-2-GRN,SYNTHETIC
KS-LASER-500-P-202410-1,2024-10-08,模拟原料商1,钢板,123165.0,6,738990,96068,835058,KS-LASER-500-P-202410-1-INV,KS-LASER-500-P-202410-1-GRN,SYNTHETIC
KS-LASER-500-P-202410-2,2024-10-08,模拟原料商2,钢板,82110.0,6,492660,64046,556706,KS-LASER-500-P-202410-2-INV,KS-LASER-500-P-202410-2-GRN,SYNTHETIC
KS-LASER-500-P-202411-1,2024-11-08,模拟原料商1,钢板,127995.0,6,767970,99836,867806,KS-LASER-500-P-202411-1-INV,KS-LASER-500-P-202411-1-GRN,SYNTHETIC
KS-LASER-500-P-202411-2,2024-11-08,模拟原料商2,钢板,85330.0,6,511980,66558,578538,KS-LASER-500-P-202411-2-INV,KS-LASER-500-P-202411-2-GRN,SYNTHETIC
KS-LASER-500-P-202412-1,2024-12-08,模拟原料商1,钢板,132825.0,6,796950,103603,900553,KS-LASER-500-P-202412-1-INV,KS-LASER-500-P-202412-1-GRN,SYNTHETIC
KS-LASER-500-P-202412-2,2024-12-08,模拟原料商2,钢板,88550.0,6,531300,69069,600369,KS-LASER-500-P-202412-2-INV,KS-LASER-500-P-202412-2-GRN,SYNTHETIC
KS-LASER-500-P-202501-1,2025-01-08,模拟原料商1,钢板,101430.0,6,608580,79115,687695,KS-LASER-500-P-202501-1-INV,KS-LASER-500-P-202501-1-GRN,SYNTHETIC
KS-LASER-500-P-202501-2,2025-01-08,模拟原料商2,钢板,67620.0,6,405720,52744,458464,KS-LASER-500-P-202501-2-INV,KS-LASER-500-P-202501-2-GRN,SYNTHETIC
KS-LASER-500-P-202502-1,2025-02-08,模拟原料商1,钢板,91287.0,6,547722,71204,618926,KS-LASER-500-P-202502-1-INV,KS-LASER-500-P-202502-1-GRN,SYNTHETIC
KS-LASER-500-P-202502-2,2025-02-08,模拟原料商2,钢板,60858.0,6,365148,47469,412617,KS-LASER-500-P-202502-2-INV,KS-LASER-500-P-202502-2-GRN,SYNTHETIC
KS-LASER-500-P-202503-1,2025-03-08,模拟原料商1,钢板,129329.0,6,775974,100877,876851,KS-LASER-500-P-202503-1-INV,KS-LASER-500-P-202503-1-GRN,SYNTHETIC
KS-LASER-500-P-202503-2,2025-03-08,模拟原料商2,钢板,86219.333,6,517316,67251,584567,KS-LASER-500-P-202503-2-INV,KS-LASER-500-P-202503-2-GRN,SYNTHETIC
KS-LASER-500-P-202504-1,2025-04-08,模拟原料商1,钢板,134389.0,6,806334,104824,911158,KS-LASER-500-P-202504-1-INV,KS-LASER-500-P-202504-1-GRN,SYNTHETIC
KS-LASER-500-P-202504-2,2025-04-08,模拟原料商2,钢板,89592.667,6,537556,69882,607438,KS-LASER-500-P-202504-2-INV,KS-LASER-500-P-202504-2-GRN,SYNTHETIC
KS-LASER-500-P-202505-1,2025-05-08,模拟原料商1,钢板,139472.0,6,836832,108788,945620,KS-LASER-500-P-202505-1-INV,KS-LASER-500-P-202505-1-GRN,SYNTHETIC
KS-LASER-500-P-202505-2,2025-05-08,模拟原料商2,钢板,92981.333,6,557888,72526,630414,KS-LASER-500-P-202505-2-INV,KS-LASER-500-P-202505-2-GRN,SYNTHETIC
KS-LASER-500-P-202506-1,2025-06-08,模拟原料商1,钢板,133124.0,6,798744,103837,902581,KS-LASER-500-P-202506-1-INV,KS-LASER-500-P-202506-1-GRN,SYNTHETIC
KS-LASER-500-P-202506-2,2025-06-08,模拟原料商2,钢板,88749.333,6,532496,69224,601720,KS-LASER-500-P-202506-2-INV,KS-LASER-500-P-202506-2-GRN,SYNTHETIC
KS-LASER-500-P-202507-1,2025-07-08,模拟原料商1,钢板,136930.5,6,821583,106806,928389,KS-LASER-500-P-202507-1-INV,KS-LASER-500-P-202507-1-GRN,SYNTHETIC
KS-LASER-500-P-202507-2,2025-07-08,模拟原料商2,钢板,91287.0,6,547722,71204,618926,KS-LASER-500-P-202507-2-INV,KS-LASER-500-P-202507-2-GRN,SYNTHETIC
KS-LASER-500-P-202508-1,2025-08-08,模拟原料商1,钢板,136930.5,6,821583,106806,928389,KS-LASER-500-P-202508-1-INV,KS-LASER-500-P-202508-1-GRN,SYNTHETIC
KS-LASER-500-P-202508-2,2025-08-08,模拟原料商2,钢板,91287.0,6,547722,71204,618926,KS-LASER-500-P-202508-2-INV,KS-LASER-500-P-202508-2-GRN,SYNTHETIC
KS-LASER-500-P-202509-1,2025-09-08,模拟原料商1,钢板,131859.0,6,791154,102850,894004,KS-LASER-500-P-202509-1-INV,KS-LASER-500-P-202509-1-GRN,SYNTHETIC
KS-LASER-500-P-202509-2,2025-09-08,模拟原料商2,钢板,87906.0,6,527436,68567,596003,KS-LASER-500-P-202509-2-INV,KS-LASER-500-P-202509-2-GRN,SYNTHETIC
KS-LASER-500-P-202510-1,2025-10-08,模拟原料商1,钢板,129329.0,6,775974,100877,876851,KS-LASER-500-P-202510-1-INV,KS-LASER-500-P-202510-1-GRN,SYNTHETIC
KS-LASER-500-P-202510-2,2025-10-08,模拟原料商2,钢板,86219.333,6,517316,67251,584567,KS-LASER-500-P-202510-2-INV,KS-LASER-500-P-202510-2-GRN,SYNTHETIC
KS-LASER-500-P-202511-1,2025-11-08,模拟原料商1,钢板,134389.0,6,806334,104824,911158,KS-LASER-500-P-202511-1-INV,KS-LASER-500-P-202511-1-GRN,SYNTHETIC
KS-LASER-500-P-202511-2,2025-11-08,模拟原料商2,钢板,89592.667,6,537556,69882,607438,KS-LASER-500-P-202511-2-INV,KS-LASER-500-P-202511-2-GRN,SYNTHETIC
KS-LASER-500-P-202512-1,2025-12-08,模拟原料商1,钢板,139472.0,6,836832,108788,945620,KS-LASER-500-P-202512-1-INV,KS-LASER-500-P-202512-1-GRN,SYNTHETIC
KS-LASER-500-P-202512-2,2025-12-08,模拟原料商2,钢板,92981.333,6,557888,72526,630414,KS-LASER-500-P-202512-2-INV,KS-LASER-500-P-202512-2-GRN,SYNTHETIC
KS-LASER-500-P-202601-1,2026-01-08,模拟原料商1,钢板,106501.5,6,639009,83071,722080,KS-LASER-500-P-202601-1-INV,KS-LASER-500-P-202601-1-GRN,SYNTHETIC
KS-LASER-500-P-202601-2,2026-01-08,模拟原料商2,钢板,71001.0,6,426006,55381,481387,KS-LASER-500-P-202601-2-INV,KS-LASER-500-P-202601-2-GRN,SYNTHETIC
KS-LASER-500-P-202602-1,2026-02-08,模拟原料商1,钢板,95852.5,6,575115,74765,649880,KS-LASER-500-P-202602-1-INV,KS-LASER-500-P-202602-1-GRN,SYNTHETIC
KS-LASER-500-P-202602-2,2026-02-08,模拟原料商2,钢板,63901.667,6,383410,49843,433253,KS-LASER-500-P-202602-2-INV,KS-LASER-500-P-202602-2-GRN,SYNTHETIC
KS-LASER-500-P-202603-1,2026-03-08,模拟原料商1,钢板,135792.0,6,814752,105918,920670,KS-LASER-500-P-202603-1-INV,KS-LASER-500-P-202603-1-GRN,SYNTHETIC
KS-LASER-500-P-202603-2,2026-03-08,模拟原料商2,钢板,90528.0,6,543168,70612,613780,KS-LASER-500-P-202603-2-INV,KS-LASER-500-P-202603-2-GRN,SYNTHETIC
KS-LASER-500-P-202604-1,2026-04-08,模拟原料商1,钢板,141116.5,6,846699,110071,956770,KS-LASER-500-P-202604-1-INV,KS-LASER-500-P-202604-1-GRN,SYNTHETIC
KS-LASER-500-P-202604-2,2026-04-08,模拟原料商2,钢板,94077.667,6,564466,73380,637846,KS-LASER-500-P-202604-2-INV,KS-LASER-500-P-202604-2-GRN,SYNTHETIC
KS-LASER-500-P-202605-1,2026-05-08,模拟原料商1,钢板,146441.0,6,878646,114224,992870,KS-LASER-500-P-202605-1-INV,KS-LASER-500-P-202605-1-GRN,SYNTHETIC
KS-LASER-500-P-202605-2,2026-05-08,模拟原料商2,钢板,97627.333,6,585764,76149,661913,KS-LASER-500-P-202605-2-INV,KS-LASER-500-P-202605-2-GRN,SYNTHETIC
KS-LASER-500-P-202606-1,2026-06-08,模拟原料商1,钢板,139782.5,6,838695,109030,947725,KS-LASER-500-P-202606-1-INV,KS-LASER-500-P-202606-1-GRN,SYNTHETIC
KS-LASER-500-P-202606-2,2026-06-08,模拟原料商2,钢板,93188.333,6,559130,72687,631817,KS-LASER-500-P-202606-2-INV,KS-LASER-500-P-202606-2-GRN,SYNTHETIC
KS-LASER-500-P-202607-1,2026-07-08,模拟原料商1,钢板,143773.0,6,862638,112143,974781,KS-LASER-500-P-202607-1-INV,KS-LASER-500-P-202607-1-GRN,SYNTHETIC
KS-LASER-500-P-202607-2,2026-07-08,模拟原料商2,钢板,95848.667,6,575092,74762,649854,KS-LASER-500-P-202607-2-INV,KS-LASER-500-P-202607-2-GRN,SYNTHETIC
KS-LASER-500-P-202608-1,2026-08-08,模拟原料商1,钢板,143773.0,6,862638,112143,974781,KS-LASER-500-P-202608-1-INV,KS-LASER-500-P-202608-1-GRN,SYNTHETIC
KS-LASER-500-P-202608-2,2026-08-08,模拟原料商2,钢板,95848.667,6,575092,74762,649854,KS-LASER-500-P-202608-2-INV,KS-LASER-500-P-202608-2-GRN,SYNTHETIC
