流水号,日期,关联单号,对手方,摘要,收入元,支出元,余额元,币种,标识
KS-TEXTILE-200-B0025,2023-03-14,KS-TEXTILE-200-S-202303-3,模拟下游3,销售回款,205395,0,3052830,CNY,SYNTHETIC
KS-TEXTILE-200-B0026,2023-03-16,KS-TEXTILE-200-P-202303-1,模拟原料商1,原料付款,0,809130,2243700,CNY,SYNTHETIC
KS-TEXTILE-200-B0027,2023-03-17,KS-TEXTILE-200-P-202303-2,模拟原料商2,原料付款,0,539419,1704281,CNY,SYNTHETIC
KS-TEXTILE-200-B0028,2023-03-25,KS-TEXTILE-200-PAY-202303,模拟工资代发,工资,0,140000,1564281,CNY,SYNTHETIC
KS-TEXTILE-200-B0029,2023-03-25,KS-TEXTILE-200-ELEC-202303,模拟供电结算,电费,0,112200,1452081,CNY,SYNTHETIC
KS-TEXTILE-200-B0030,2023-03-25,KS-TEXTILE-200-OPEX-202303,模拟费用结算,管理销售费用,0,90000,1362081,CNY,SYNTHETIC
KS-TEXTILE-200-B0031,2023-03-25,KS-TEXTILE-200-INT-202303,模拟融资机构,利息,0,32000,1330081,CNY,SYNTHETIC
KS-TEXTILE-200-B0032,2023-03-25,KS-TEXTILE-200-VAT-202303,模拟税费账户,增值税,0,83538,1246543,CNY,SYNTHETIC
KS-TEXTILE-200-B0033,2023-03-25,KS-TEXTILE-200-CIT-202303,模拟税费账户,所得税,0,52101,1194442,CNY,SYNTHETIC
KS-TEXTILE-200-B0034,2023-04-12,KS-TEXTILE-200-S-202304-1,模拟下游1,销售回款,1387407,0,2581849,CNY,SYNTHETIC
KS-TEXTILE-200-B0035,2023-04-13,KS-TEXTILE-200-S-202304-2,模拟下游2,销售回款,533618,0,3115467,CNY,SYNTHETIC
KS-TEXTILE-200-B0036,2023-04-14,KS-TEXTILE-200-S-202304-3,模拟下游3,销售回款,213448,0,3328915,CNY,SYNTHETIC
KS-TEXTILE-200-B0037,2023-04-16,KS-TEXTILE-200-P-202304-1,模拟原料商1,原料付款,0,840853,2488062,CNY,SYNTHETIC
KS-TEXTILE-200-B0038,2023-04-17,KS-TEXTILE-200-P-202304-2,模拟原料商2,原料付款,0,560568,1927494,CNY,SYNTHETIC
KS-TEXTILE-200-B0039,2023-04-25,KS-TEXTILE-200-PAY-202304,模拟工资代发,工资,0,140000,1787494,CNY,SYNTHETIC
KS-TEXTILE-200-B0040,2023-04-25,KS-TEXTILE-200-ELEC-202304,模拟供电结算,电费,0,116600,1670894,CNY,SYNTHETIC
KS-TEXTILE-200-B0041,2023-04-25,KS-TEXTILE-200-OPEX-202304,模拟费用结算,管理销售费用,0,90000,1580894,CNY,SYNTHETIC
KS-TEXTILE-200-B0042,2023-04-25,KS-TEXTILE-200-INT-202304,模拟融资机构,利息,0,32000,1548894,CNY,SYNTHETIC
KS-TEXTILE-200-B0043,2023-04-25,KS-TEXTILE-200-VAT-202304,模拟税费账户,增值税,0,86814,1462080,CNY,SYNTHETIC
KS-TEXTILE-200-B0044,2023-04-25,KS-TEXTILE-200-CIT-202304,模拟税费账户,所得税,0,57300,1404780,CNY,SYNTHETIC
KS-TEXTILE-200-B0045,2023-05-12,KS-TEXTILE-200-S-202305-1,模拟下游1,销售回款,1439767,0,2844547,CNY,SYNTHETIC
KS-TEXTILE-200-B0046,2023-05-13,KS-TEXTILE-200-S-202305-2,模拟下游2,销售回款,553756,0,3398303,CNY,SYNTHETIC
KS-TEXTILE-200-B0047,2023-05-14,KS-TEXTILE-200-S-202305-3,模拟下游3,销售回款,221503,0,3619806,CNY,SYNTHETIC
KS-TEXTILE-200-B0048,2023-05-16,KS-TEXTILE-200-P-202305-1,模拟原料商1,原料付款,0,872586,2747220,CNY,SYNTHETIC
KS-TEXTILE-200-B0049,2023-05-17,KS-TEXTILE-200-P-202305-2,模拟原料商2,原料付款,0,581724,2165496,CNY,SYNTHETIC
KS-TEXTILE-200-B0050,2023-05-25,KS-TEXTILE-200-PAY-202305,模拟工资代发,工资,0,140000,2025496,CNY,SYNTHETIC
KS-TEXTILE-200-B0051,2023-05-25,KS-TEXTILE-200-ELEC-202305,模拟供电结算,电费,0,121000,1904496,CNY,SYNTHETIC
KS-TEXTILE-200-B0052,2023-05-25,KS-TEXTILE-200-OPEX-202305,模拟费用结算,管理销售费用,0,90000,1814496,CNY,SYNTHETIC
KS-TEXTILE-200-B0053,2023-05-25,KS-TEXTILE-200-INT-202305,模拟融资机构,利息,0,32000,1782496,CNY,SYNTHETIC
KS-TEXTILE-200-B0054,2023-05-25,KS-TEXTILE-200-VAT-202305,模拟税费账户,增值税,0,90090,1692406,CNY,SYNTHETIC
KS-TEXTILE-200-B0055,2023-05-25,KS-TEXTILE-200-CIT-202305,模拟税费账户,所得税,0,62500,1629906,CNY,SYNTHETIC
KS-TEXTILE-200-B0056,2023-06-12,KS-TEXTILE-200-S-202306-1,模拟下游1,销售回款,1374322,0,3004228,CNY,SYNTHETIC
KS-TEXTILE-200-B0057,2023-06-13,KS-TEXTILE-200-S-202306-2,模拟下游2,销售回款,528586,0,3532814,CNY,SYNTHETIC
KS-TEXTILE-200-B0058,2023-06-14,KS-TEXTILE-200-S-202306-3,模拟下游3,销售回款,211433,0,3744247,CNY,SYNTHETIC
KS-TEXTILE-200-B0059,2023-06-16,KS-TEXTILE-200-P-202306-1,模拟原料商1,原料付款,0,832922,2911325,CNY,SYNTHETIC
KS-TEXTILE-200-B0060,2023-06-17,KS-TEXTILE-200-P-202306-2,模拟原料商2,原料付款,0,555282,2356043,CNY,SYNTHETIC
KS-TEXTILE-200-B0061,2023-06-25,KS-TEXTILE-200-PAY-202306,模拟工资代发,工资,0,140000,2216043,CNY,SYNTHETIC
KS-TEXTILE-200-B0062,2023-06-25,KS-TEXTILE-200-ELEC-202306,模拟供电结算,电费,0,115500,2100543,CNY,SYNTHETIC
KS-TEXTILE-200-B0063,2023-06-25,KS-TEXTILE-200-OPEX-202306,模拟费用结算,管理销售费用,0,90000,2010543,CNY,SYNTHETIC
KS-TEXTILE-200-B0064,2023-06-25,KS-TEXTILE-200-INT-202306,模拟融资机构,利息,0,32000,1978543,CNY,SYNTHETIC
KS-TEXTILE-200-B0065,2023-06-25,KS-TEXTILE-200-VAT-202306,模拟税费账户,增值税,0,85995,1892548,CNY,SYNTHETIC
KS-TEXTILE-200-B0066,2023-06-25,KS-TEXTILE-200-CIT-202306,模拟税费账户,所得税,0,56000,1836548,CNY,SYNTHETIC
KS-TEXTILE-200-B0067,2023-07-12,KS-TEXTILE-200-S-202307-1,模拟下游1,销售回款,1413595,0,3250143,CNY,SYNTHETIC
KS-TEXTILE-200-B0068,2023-07-13,KS-TEXTILE-200-S-202307-2,模拟下游2,销售回款,543690,0,3793833,CNY,SYNTHETIC
KS-TEXTILE-200-B0069,2023-07-14,KS-TEXTILE-200-S-202307-3,模拟下游3,销售回款,217476,0,4011309,CNY,SYNTHETIC
KS-TEXTILE-200-B0070,2023-07-16,KS-TEXTILE-200-P-202307-1,模拟原料商1,原料付款,0,856724,3154585,CNY,SYNTHETIC
KS-TEXTILE-200-B0071,2023-07-17,KS-TEXTILE-200-P-202307-2,模拟原料商2,原料付款,0,571150,2583435,CNY,SYNTHETIC
KS-TEXTILE-200-B0072,2023-07-25,KS-TEXTILE-200-PAY-202307,模拟工资代发,工资,0,140000,2443435,CNY,SYNTHETIC
KS-TEXTILE-200-B0073,2023-07-25,KS-TEXTILE-200-ELEC-202307,模拟供电结算,电费,0,118800,2324635,CNY,SYNTHETIC
KS-TEXTILE-200-B0074,2023-07-25,KS-TEXTILE-200-OPEX-202307,模拟费用结算,管理销售费用,0,90000,2234635,CNY,SYNTHETIC
KS-TEXTILE-200-B0075,2023-07-25,KS-TEXTILE-200-INT-202307,模拟融资机构,利息,0,32000,2202635,CNY,SYNTHETIC
KS-TEXTILE-200-B0076,2023-07-25,KS-TEXTILE-200-VAT-202307,模拟税费账户,增值税,0,88452,2114183,CNY,SYNTHETIC
KS-TEXTILE-200-B0077,2023-07-25,KS-TEXTILE-200-CIT-202307,模拟税费账户,所得税,0,59901,2054282,CNY,SYNTHETIC
KS-TEXTILE-200-B0078,2023-08-12,KS-TEXTILE-200-S-202308-1,模拟下游1,销售回款,1413595,0,3467877,CNY,SYNTHETIC
KS-TEXTILE-200-B0079,2023-08-13,KS-TEXTILE-200-S-202308-2,模拟下游2,销售回款,543690,0,4011567,CNY,SYNTHETIC
KS-TEXTILE-200-B0080,2023-08-14,KS-TEXTILE-200-S-202308-3,模拟下游3,销售回款,217476,0,4229043,CNY,SYNTHETIC
KS-TEXTILE-200-B0081,2023-08-16,KS-TEXTILE-200-P-202308-1,模拟原料商1,原料付款,0,856724,3372319,CNY,SYNTHETIC
KS-TEXTILE-200-B0082,2023-08-17,KS-TEXTILE-200-P-202308-2,模拟原料商2,原料付款,0,571150,2801169,CNY,SYNTHETIC
KS-TEXTILE-200-B0083,2023-08-25,KS-TEXTILE-200-PAY-202308,模拟工资代发,工资,0,140000,2661169,CNY,SYNTHETIC
KS-TEXTILE-200-B0084,2023-08-25,KS-TEXTILE-200-ELEC-202308,模拟供电结算,电费,0,118800,2542369,CNY,SYNTHETIC
KS-TEXTILE-200-B0085,2023-08-25,KS-TEXTILE-200-OPEX-202308,模拟费用结算,管理销售费用,0,90000,2452369,CNY,SYNTHETIC
KS-TEXTILE-200-B0086,2023-08-25,KS-TEXTILE-200-INT-202308,模拟融资机构,利息,0,32000,2420369,CNY,SYNTHETIC
KS-TEXTILE-200-B0087,2023-08-25,KS-TEXTILE-200-VAT-202308,模拟税费账户,增值税,0,88452,2331917,CNY,SYNTHETIC
KS-TEXTILE-200-B0088,2023-08-25,KS-TEXTILE-200-CIT-202308,模拟税费账户,所得税,0,59901,2272016,CNY,SYNTHETIC
KS-TEXTILE-200-B0089,2023-09-12,KS-TEXTILE-200-S-202309-1,模拟下游1,销售回款,1361235,0,3633251,CNY,SYNTHETIC
KS-TEXTILE-200-B0090,2023-09-13,KS-TEXTILE-200-S-202309-2,模拟下游2,销售回款,523552,0,4156803,CNY,SYNTHETIC
KS-TEXTILE-200-B0091,2023-09-14,KS-TEXTILE-200-S-202309-3,模拟下游3,销售回款,209422,0,4366225,CNY,SYNTHETIC
KS-TEXTILE-200-B0092,2023-09-16,KS-TEXTILE-200-P-202309-1,模拟原料商1,原料付款,0,824991,3541234,CNY,SYNTHETIC
KS-TEXTILE-200-B0093,2023-09-17,KS-TEXTILE-200-P-202309-2,模拟原料商2,原料付款,0,549994,2991240,CNY,SYNTHETIC
KS-TEXTILE-200-B0094,2023-09-25,KS-TEXTILE-200-PAY-202309,模拟工资代发,工资,0,140000,2851240,CNY,SYNTHETIC
KS-TEXTILE-200-B0095,2023-09-25,KS-TEXTILE-200-ELEC-202309,模拟供电结算,电费,0,114400,2736840,CNY,SYNTHETIC
KS-TEXTILE-200-B0096,2023-09-25,KS-TEXTILE-200-OPEX-202309,模拟费用结算,管理销售费用,0,90000,2646840,CNY,SYNTHETIC
KS-TEXTILE-200-B0097,2023-09-25,KS-TEXTILE-200-INT-202309,模拟融资机构,利息,0,32000,2614840,CNY,SYNTHETIC
KS-TEXTILE-200-B0098,2023-09-25,KS-TEXTILE-200-VAT-202309,模拟税费账户,增值税,0,85176,2529664,CNY,SYNTHETIC
KS-TEXTILE-200-B0099,2023-09-25,KS-TEXTILE-200-CIT-202309,模拟税费账户,所得税,0,54700,2474964,CNY,SYNTHETIC
KS-TEXTILE-200-B0100,2023-10-12,KS-TEXTILE-200-S-202310-1,模拟下游1,销售回款,1335064,0,3810028,CNY,SYNTHETIC
KS-TEXTILE-200-B0101,2023-10-13,KS-TEXTILE-200-S-202310-2,模拟下游2,销售回款,513485,0,4323513,CNY,SYNTHETIC
KS-TEXTILE-200-B0102,2023-10-14,KS-TEXTILE-200-S-202310-3,模拟下游3,销售回款,205395,0,4528908,CNY,SYNTHETIC
KS-TEXTILE-200-B0103,2023-10-16,KS-TEXTILE-200-P-202310-1,模拟原料商1,原料付款,0,809130,3719778,CNY,SYNTHETIC
KS-TEXTILE-200-B0104,2023-10-17,KS-TEXTILE-200-P-202310-2,模拟原料商2,原料付款,0,539419,3180359,CNY,SYNTHETIC
KS-TEXTILE-200-B0105,2023-10-25,KS-TEXTILE-200-PAY-202310,模拟工资代发,工资,0,140000,3040359,CNY,SYNTHETIC
KS-TEXTILE-200-B0106,2023-10-25,KS-TEXTILE-200-ELEC-202310,模拟供电结算,电费,0,112200,2928159,CNY,SYNTHETIC
KS-TEXTILE-200-B0107,2023-10-25,KS-TEXTILE-200-OPEX-202310,模拟费用结算,管理销售费用,0,90000,2838159,CNY,SYNTHETIC
KS-TEXTILE-200-B0108,2023-10-25,KS-TEXTILE-200-INT-202310,模拟融资机构,利息,0,32000,2806159,CNY,SYNTHETIC
KS-TEXTILE-200-B0109,2023-10-25,KS-TEXTILE-200-VAT-202310,模拟税费账户,增值税,0,83538,2722621,CNY,SYNTHETIC
KS-TEXTILE-200-B0110,2023-10-25,KS-TEXTILE-200-CIT-202310,模拟税费账户,所得税,0,52101,2670520,CNY,SYNTHETIC
KS-TEXTILE-200-B0111,2023-11-12,KS-TEXTILE-200-S-202311-1,模拟下游1,销售回款,1387407,0,4057927,CNY,SYNTHETIC
KS-TEXTILE-200-B0112,2023-11-13,KS-TEXTILE-200-S-202311-2,模拟下游2,销售回款,533618,0,4591545,CNY,SYNTHETIC
KS-TEXTILE-200-B0113,2023-11-14,KS-TEXTILE-200-S-202311-3,模拟下游3,销售回款,213448,0,4804993,CNY,SYNTHETIC
KS-TEXTILE-200-B0114,2023-11-16,KS-TEXTILE-200-P-202311-1,模拟原料商1,原料付款,0,840853,3964140,CNY,SYNTHETIC
KS-TEXTILE-200-B0115,2023-11-17,KS-TEXTILE-200-P-202311-2,模拟原料商2,原料付款,0,560568,3403572,CNY,SYNTHETIC
KS-TEXTILE-200-B0116,2023-11-25,KS-TEXTILE-200-PAY-202311,模拟工资代发,工资,0,140000,3263572,CNY,SYNTHETIC
KS-TEXTILE-200-B0117,2023-11-25,KS-TEXTILE-200-ELEC-202311,模拟供电结算,电费,0,116600,3146972,CNY,SYNTHETIC
KS-TEXTILE-200-B0118,2023-11-25,KS-TEXTILE-200-OPEX-202311,模拟费用结算,管理销售费用,0,90000,3056972,CNY,SYNTHETIC
KS-TEXTILE-200-B0119,2023-11-25,KS-TEXTILE-200-INT-202311,模拟融资机构,利息,0,32000,3024972,CNY,SYNTHETIC
KS-TEXTILE-200-B0120,2023-11-25,KS-TEXTILE-200-VAT-202311,模拟税费账户,增值税,0,86814,2938158,CNY,SYNTHETIC
KS-TEXTILE-200-B0121,2023-11-25,KS-TEXTILE-200-CIT-202311,模拟税费账户,所得税,0,57300,2880858,CNY,SYNTHETIC
KS-TEXTILE-200-B0122,2023-12-12,KS-TEXTILE-200-S-202312-1,模拟下游1,销售回款,1439767,0,4320625,CNY,SYNTHETIC
KS-TEXTILE-200-B0123,2023-12-13,KS-TEXTILE-200-S-202312-2,模拟下游2,销售回款,553756,0,4874381,CNY,SYNTHETIC
KS-TEXTILE-200-B0124,2023-12-14,KS-TEXTILE-200-S-202312-3,模拟下游3,销售回款,221503,0,5095884,CNY,SYNTHETIC
KS-TEXTILE-200-B0125,2023-12-16,KS-TEXTILE-200-P-202312-1,模拟原料商1,原料付款,0,872586,4223298,CNY,SYNTHETIC
KS-TEXTILE-200-B0126,2023-12-17,KS-TEXTILE-200-P-202312-2,模拟原料商2,原料付款,0,581724,3641574,CNY,SYNTHETIC
KS-TEXTILE-200-B0127,2023-12-25,KS-TEXTILE-200-PAY-202312,模拟工资代发,工资,0,140000,3501574,CNY,SYNTHETIC
KS-TEXTILE-200-B0128,2023-12-25,KS-TEXTILE-200-ELEC-202312,模拟供电结算,电费,0,121000,3380574,CNY,SYNTHETIC
KS-TEXTILE-200-B0129,2023-12-25,KS-TEXTILE-200-OPEX-202312,模拟费用结算,管理销售费用,0,90000,3290574,CNY,SYNTHETIC
KS-TEXTILE-200-B0130,2023-12-25,KS-TEXTILE-200-INT-202312,模拟融资机构,利息,0,32000,3258574,CNY,SYNTHETIC
KS-TEXTILE-200-B0131,2023-12-25,KS-TEXTILE-200-VAT-202312,模拟税费账户,增值税,0,90090,3168484,CNY,SYNTHETIC
KS-TEXTILE-200-B0132,2023-12-25,KS-TEXTILE-200-CIT-202312,模拟税费账户,所得税,0,62500,3105984,CNY,SYNTHETIC
KS-TEXTILE-200-B0133,2024-01-12,KS-TEXTILE-200-S-202401-1,模拟下游1,销售回款,963331,0,4069315,CNY,SYNTHETIC
KS-TEXTILE-200-B0134,2024-01-13,KS-TEXTILE-200-S-202401-2,模拟下游2,销售回款,370512,0,4439827,CNY,SYNTHETIC
KS-TEXTILE-200-B0135,2024-01-14,KS-TEXTILE-200-S-202401-3,模拟下游3,销售回款,148205,0,4588032,CNY,SYNTHETIC
KS-TEXTILE-200-B0136,2024-01-16,KS-TEXTILE-200-P-202401-1,模拟原料商1,原料付款,0,583837,4004195,CNY,SYNTHETIC
KS-TEXTILE-200-B0137,2024-01-17,KS-TEXTILE-200-P-202401-2,模拟原料商2,原料付款,0,389225,3614970,CNY,SYNTHETIC
KS-TEXTILE-200-B0138,2024-01-25,KS-TEXTILE-200-PAY-202401,模拟工资代发,工资,0,140000,3474970,CNY,SYNTHETIC
KS-TEXTILE-200-B0139,2024-01-25,KS-TEXTILE-200-ELEC-202401,模拟供电结算,电费,0,88000,3386970,CNY,SYNTHETIC
KS-TEXTILE-200-B0140,2024-01-25,KS-TEXTILE-200-OPEX-202401,模拟费用结算,管理销售费用,0,90000,3296970,CNY,SYNTHETIC
KS-TEXTILE-200-B0141,2024-01-25,KS-TEXTILE-200-INT-202401,模拟融资机构,利息,0,32000,3264970,CNY,SYNTHETIC
KS-TEXTILE-200-B0142,2024-01-25,KS-TEXTILE-200-VAT-202401,模拟税费账户,增值税,0,60278,3204692,CNY,SYNTHETIC
KS-TEXTILE-200-B0143,2024-01-25,KS-TEXTILE-200-CIT-202401,模拟税费账户,所得税,0,13420,3191272,CNY,SYNTHETIC
KS-TEXTILE-200-B0144,2024-02-12,KS-TEXTILE-200-S-202402-1,模拟下游1,销售回款,866996,0,4058268,CNY,SYNTHETIC
KS-TEXTILE-200-B0145,2024-02-13,KS-TEXTILE-200-S-202402-2,模拟下游2,销售回款,333460,0,4391728,CNY,SYNTHETIC
KS-TEXTILE-200-B0146,2024-02-14,KS-TEXTILE-200-S-202402-3,模拟下游3,销售回款,133384,0,4525112,CNY,SYNTHETIC
KS-TEXTILE-200-B0147,2024-02-16,KS-TEXTILE-200-P-202402-1,模拟原料商1,原料付款,0,525452,3999660,CNY,SYNTHETIC
KS-TEXTILE-200-B0148,2024-02-17,KS-TEXTILE-200-P-202402-2,模拟原料商2,原料付款,0,350301,3649359,CNY,SYNTHETIC
KS-TEXTILE-200-B0149,2024-02-25,KS-TEXTILE-200-PAY-202402,模拟工资代发,工资,0,140000,3509359,CNY,SYNTHETIC
KS-TEXTILE-200-B0150,2024-02-25,KS-TEXTILE-200-ELEC-202402,模拟供电结算,电费,0,79200,3430159,CNY,SYNTHETIC
KS-TEXTILE-200-B0151,2024-02-25,KS-TEXTILE-200-OPEX-202402,模拟费用结算,管理销售费用,0,90000,3340159,CNY,SYNTHETIC
KS-TEXTILE-200-B0152,2024-02-25,KS-TEXTILE-200-INT-202402,模拟融资机构,利息,0,32000,3308159,CNY,SYNTHETIC
KS-TEXTILE-200-B0153,2024-02-25,KS-TEXTILE-200-VAT-202402,模拟税费账户,增值税,0,54251,3253908,CNY,SYNTHETIC
KS-TEXTILE-200-B0154,2024-02-25,KS-TEXTILE-200-CIT-202402,模拟税费账户,所得税,0,4027,3249881,CNY,SYNTHETIC
KS-TEXTILE-200-B0155,2024-03-12,KS-TEXTILE-200-S-202403-1,模拟下游1,销售回款,1228248,0,4478129,CNY,SYNTHETIC
KS-TEXTILE-200-B0156,2024-03-13,KS-TEXTILE-200-S-202403-2,模拟下游2,销售回款,472403,0,4950532,CNY,SYNTHETIC
KS-TEXTILE-200-B0157,2024-03-14,KS-TEXTILE-200-S-202403-3,模拟下游3,销售回款,188962,0,5139494,CNY,SYNTHETIC
KS-TEXTILE-200-B0158,2024-03-16,KS-TEXTILE-200-P-202403-1,模拟原料商1,原料付款,0,744393,4395101,CNY,SYNTHETIC
KS-TEXTILE-200-B0159,2024-03-17,KS-TEXTILE-200-P-202403-2,模拟原料商2,原料付款,0,496262,3898839,CNY,SYNTHETIC
KS-TEXTILE-200-B0160,2024-03-25,KS-TEXTILE-200-PAY-202403,模拟工资代发,工资,0,140000,3758839,CNY,SYNTHETIC
KS-TEXTILE-200-B0161,2024-03-25,KS-TEXTILE-200-ELEC-202403,模拟供电结算,电费,0,112200,3646639,CNY,SYNTHETIC
KS-TEXTILE-200-B0162,2024-03-25,KS-TEXTILE-200-OPEX-202403,模拟费用结算,管理销售费用,0,90000,3556639,CNY,SYNTHETIC
KS-TEXTILE-200-B0163,2024-03-25,KS-TEXTILE-200-INT-202403,模拟融资机构,利息,0,32000,3524639,CNY,SYNTHETIC
KS-TEXTILE-200-B0164,2024-03-25,KS-TEXTILE-200-VAT-202403,模拟税费账户,增值税,0,76855,3447784,CNY,SYNTHETIC
KS-TEXTILE-200-B0165,2024-03-25,KS-TEXTILE-200-CIT-202403,模拟税费账户,所得税,0,39248,3408536,CNY,SYNTHETIC
KS-TEXTILE-200-B0166,2024-04-12,KS-TEXTILE-200-S-202404-1,模拟下游1,销售回款,1276418,0,4684954,CNY,SYNTHETIC
KS-TEXTILE-200-B0167,2024-04-13,KS-TEXTILE-200-S-202404-2,模拟下游2,销售回款,490930,0,5175884,CNY,SYNTHETIC
KS-TEXTILE-200-B0168,2024-04-14,KS-TEXTILE-200-S-202404-3,模拟下游3,销售回款,196371,0,5372255,CNY,SYNTHETIC
KS-TEXTILE-200-B0169,2024-04-16,KS-TEXTILE-200-P-202404-1,模拟原料商1,原料付款,0,773587,4598668,CNY,SYNTHETIC
KS-TEXTILE-200-B0170,2024-04-17,KS-TEXTILE-200-P-202404-2,模拟原料商2,原料付款,0,515724,4082944,CNY,SYNTHETIC
KS-TEXTILE-200-B0171,2024-04-25,KS-TEXTILE-200-PAY-202404,模拟工资代发,工资,0,140000,3942944,CNY,SYNTHETIC
KS-TEXTILE-200-B0172,2024-04-25,KS-TEXTILE-200-ELEC-202404,模拟供电结算,电费,0,116600,3826344,CNY,SYNTHETIC
KS-TEXTILE-200-B0173,2024-04-25,KS-TEXTILE-200-OPEX-202404,模拟费用结算,管理销售费用,0,90000,3736344,CNY,SYNTHETIC
KS-TEXTILE-200-B0174,2024-04-25,KS-TEXTILE-200-INT-202404,模拟融资机构,利息,0,32000,3704344,CNY,SYNTHETIC
KS-TEXTILE-200-B0175,2024-04-25,KS-TEXTILE-200-VAT-202404,模拟税费账户,增值税,0,79869,3624475,CNY,SYNTHETIC
KS-TEXTILE-200-B0176,2024-04-25,KS-TEXTILE-200-CIT-202404,模拟税费账户,所得税,0,43944,3580531,CNY,SYNTHETIC
KS-TEXTILE-200-B0177,2024-05-12,KS-TEXTILE-200-S-202405-1,模拟下游1,销售回款,1324585,0,4905116,CNY,SYNTHETIC
KS-TEXTILE-200-B0178,2024-05-13,KS-TEXTILE-200-S-202405-2,模拟下游2,销售回款,509456,0,5414572,CNY,SYNTHETIC
KS-TEXTILE-200-B0179,2024-05-14,KS-TEXTILE-200-S-202405-3,模拟下游3,销售回款,203783,0,5618355,CNY,SYNTHETIC
KS-TEXTILE-200-B0180,2024-05-16,KS-TEXTILE-200-P-202405-1,模拟原料商1,原料付款,0,802779,4815576,CNY,SYNTHETIC
KS-TEXTILE-200-B0181,2024-05-17,KS-TEXTILE-200-P-202405-2,模拟原料商2,原料付款,0,535186,4280390,CNY,SYNTHETIC
KS-TEXTILE-200-B0182,2024-05-25,KS-TEXTILE-200-PAY-202405,模拟工资代发,工资,0,140000,4140390,CNY,SYNTHETIC
