seed_record_id	keep_or_drop	company	title	city	job_id	url	source_type	evidence_grade	evidence_status	ai_relevance	production_metrics	salary_text	monthly_min_k	monthly_max_k	salary_months	notes
BOSS-011	keep	小鹏汽车	AI infra架构师	上海浦东新区张江	688069cad18145940nd_2tm4ElpR	https://www.zhipin.com/zhaopin/a1fef781326446b203Ny2928Ew~~/	BOSS_search_index	C	BOSS搜索索引本轮可读；详情页为加载/安全校验页；岗位存续需复核	core_ai_investment		65-95K·15薪	65	95	15	索引明确支持标题、公司、城市与薪资；种子原标题与城市已补正
BOSS-012	keep	深信服科技	AI INFRA开发专家/架构师	深圳南山区西丽	6b74906ecd1741c203Bz0tm-EFBU	https://www.zhipin.com/zhaopin/4c10a9367efd2f551H163d66EA~~/	BOSS_search_index	C	BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核	core_ai_investment		60-90K·16薪	60	90	16	索引明确支持大模型与多模态模型推理承载、性能和硬件资源优化；均为研发目标，无已实现生产数值；shared_index_url（与BOSS-004共用）
BOSS-013	keep	景嘉微电子	AI 芯片架构师	上海浦东新区张江	372124469adfaa9e0nVz2dq-GVRY	https://www.zhipin.com/zhaopin/9e01606d2acdbfce1X1429i8/	BOSS_search_index	C	BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核	core_ai_investment		55-85K·15薪	55	85	15	索引明确支持标题、公司、城市与薪资；高性能、低功耗、高能效为架构目标，未给量化生产结果
BOSS-014	keep	小米	AI系统架构师	北京海淀区安宁庄	307bbea37a953a5603By2di5EFBT	https://www.zhipin.com/zhaopin/86563ba621e6216c1X1439y4/	BOSS_search_index	C	BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核	core_ai_investment		50-80K·18薪	50	80	18	索引正文明确为OS AI平台整体架构，含端侧、云侧、智能体与意图框架；种子原标题和城市已补正
BOSS-015	keep	MiniMax	AI IaaS系统架构师	上海徐汇区漕河泾	614ed226b7e12a5d03B93dS1EVVS	https://m.zhipin.com/zhaopin/3cf152b283430a451HF_39W6GA~~/	BOSS_search_index	C	BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核	core_ai_investment		50-80K·16薪	50	80	16	索引明确支持标题、公司、城市与薪资；GPU高效稳定支撑是职责预期，未给现网数值；shared_index_url
BOSS-016	drop	金蝶软件中国	Agent Harness架构岗位	深圳		https://www.zhipin.com/zhaopin/41cbb7c99a6e9eca1XF42Nu1/	BOSS_search_index	D	BOSS公司索引可读但种子记录发生标题与薪资冲突；不进入有效库	core_ai_investment						当前索引显示Agent Harness研发工程师60-90K且未标月数；50-80K·16薪对应司库领域岗位，无法证明为同一职位，不能拼接
BOSS-017	keep	企查查	AI Infra / 平台架构师	上海长宁区新华路	00e632fb3e77df8a0nZz3N69FFpV	https://www.zhipin.com/zhaopin/381e35eb518921b803Z_3dS6/	BOSS_search_index	C	BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核	core_ai_investment		50-80K·14薪	50	80	14	索引明确支持推理服务、Agent运行时、数据管线与任务编排；种子原标题与城市已补正
BOSS-018	keep	上海语生科学技术	AI Agent 架构师	上海浦东新区张江	599f8f92fc1c24a10nZ83du9GFpQ	https://m.zhipin.com/zhaopin/3cf152b283430a451HF_39W6GA~~/	BOSS_search_index	C	BOSS搜索索引本轮可读；详情页跳转安全校验；薪资月数未公开；岗位存续需复核	core_ai_investment		50-80K	50	80		索引明确支持意图识别、任务规划、多Agent协作与工作流执行；公司、原标题与城市已补正；shared_index_url
BOSS-019	keep	字节跳动（火山引擎）	【火山引擎】AI Infra Agent后端开发工程师	北京海淀区中关村		https://www.zhipin.com/zhaopin/7110cf554ec3caba1nN-0tS5FQ~~/	BOSS_search_index	C	搜索引擎可复现BOSS索引卡片；动态索引页当前卡片不稳定；岗位存续需复核	core_ai_investment		40-70K·15薪	40	70	15	索引摘要明确支持IaaS AI Agent套件与稳定可靠Agent Infra；当前打开同一动态索引页未稳定返回该卡片，故不升格
BOSS-020	keep	云从科技	AI Agent 平台架构师（Runtime 方向）	上海浦东新区张江	dac90ef95267c72b0nd-3dW-F1FZ	https://www.zhipin.com/zhaopin/078cf2ee2abb3ce41nJ829q1Fw~~/	BOSS_search_index	C	BOSS搜索索引本轮可读；详情页跳转安全校验；薪资月数未公开；岗位存续需复核	core_ai_investment		35-65K	35	65		索引明确支持长任务状态持久化、中断恢复与异常补偿；这些是职责能力，不是已实现生产指标
BOSS-021	keep	XTransfer	AI 应用架构师	上海杨浦区东外滩	8fbea51fbcc88eb90nd62tq5GVBX	https://www.zhipin.com/zhaopin/2435e6b062bd6fce0nV92Nm8GQ~~/	BOSS_search_index	C	BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核	core_ai_investment		45-60K·15薪	45	60	15	索引明确支持LLM服务层、知识中台、Agent编排与数据飞轮；种子原标题和城市已补正
BOSS-022	keep	阿里巴巴集团	阿里安全-大模型安全评测运营-杭州	杭州余杭区仓前	b15cadbb33f5a38c0nV_3d61GVdS	https://www.zhipin.com/zhaopin/14b9dca820d1b3501nF_0tu1GA~~/	BOSS_search_index	C	BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核	core_ai_investment		30-60K·16薪	30	60	16	索引明确支持风险矩阵、风险细则与护栏评测集；种子概括标题已替换为可核验原标题
BOSS-023	keep	字节跳动	AI 系统架构师（Env Sandbox方向）-基础技术	上海杨浦区五角场	62837b86f94613e40nB429u1EVdU	https://m.zhipin.com/zhaopin/3cf152b283430a451HF_39W6GA~~/	BOSS_search_index	C	BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核	core_ai_investment		30-60K·15薪	30	60	15	索引明确支持下一代Agent环境与Env Sandbox、大规模RL支撑；种子原标题与城市已补正；shared_index_url
